frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor,
"rand-20-10-10-1000-1,dssp",1,606,606,606,"0,000474",10,RA,606,0,0,
"rand-20-10-10-1000-2,dssp",1,392,392,392,"0,000513",10,RA,392,0,0,
"rand-20-10-10-250-1,dssp",1,153,153,153,"0,000107",10,RA,153,0,0,
"rand-20-10-10-250-2,dssp",1,99,1E+020,99,"0,000146",2,RA,100,-1,1,
"rand-20-10-10-500-1,dssp",1,304,304,304,"0,000189",10,RA,304,0,0,
"rand-20-10-10-500-2,dssp",1,196,1E+020,196,"0,000289",2,RA,196,0,0,
"rand-20-10-10-750-1,dssp",1,450,450,450,"0,000412",10,RA,450,0,0,
"rand-20-10-10-750-2,dssp",1,296,296,296,"0,00044",10,RA,296,0,0,
"rand-20-15-15-1000-1,dssp",1,620,620,620,"0,000471",10,RA,620,0,0,
"rand-20-15-15-1000-2,dssp",1,397,397,397,"0,000476",10,RA,397,0,0,
"rand-20-15-15-250-1,dssp",1,156,1E+020,156,"0,000153",2,RA,157,-1,1,
"rand-20-15-15-250-2,dssp",1,102,1E+020,102,"0,000142",2,RA,103,-1,1,
"rand-20-15-15-500-1,dssp",1,313,1E+020,313,"0,000208",2,RA,314,-1,1,
"rand-20-15-15-500-2,dssp",1,198,198,198,"0,000266",10,RA,198,0,0,
"rand-20-15-15-750-1,dssp",1,467,467,467,"0,000395",10,RA,467,0,0,
"rand-20-15-15-750-2,dssp",1,296,296,296,"0,000352",10,RA,296,0,0,
"rand-20-20-20-1000-1,dssp",1,"620,996555",1E+020,"620,996555","0,000652",2,RA,622,"-1,003445","1,003445",
"rand-20-20-20-1000-2,dssp",1,403,403,403,"0,000562",10,RA,403,0,0,
"rand-20-20-20-250-1,dssp",1,161,1E+020,161,"0,00014",2,RA,162,-1,1,
"rand-20-20-20-250-2,dssp",1,104,1E+020,104,"0,000146",2,RA,105,-1,1,
"rand-20-20-20-500-1,dssp",1,309,1E+020,309,"0,000245",2,RA,310,-1,1,
"rand-20-20-20-500-2,dssp",1,200,200,200,"0,000218",10,RA,200,0,0,
"rand-20-20-20-750-1,dssp",1,"467,074287",1E+020,"467,074287","0,00042",2,RA,468,"-0,925713","0,925713",
"rand-20-20-20-750-2,dssp",1,301,301,301,"0,000377",10,RA,301,0,0,
"rand-20-25-25-1000-1,dssp",1,627,1E+020,627,"0,000677",2,RA,628,-1,1,
"rand-20-25-25-1000-2,dssp",1,400,400,400,"0,000506",10,RA,400,0,0,
"rand-20-25-25-250-1,dssp",1,159,1E+020,159,"0,000141",2,RA,160,-1,1,
"rand-20-25-25-250-2,dssp",1,103,103,103,"0,000128",10,RA,103,0,0,
"rand-20-25-25-500-1,dssp",1,316,316,316,"0,00018",10,RA,316,0,0,
"rand-20-25-25-500-2,dssp",1,200,1E+020,200,"0,000213",2,RA,201,-1,1,
"rand-20-25-25-750-1,dssp",1,"469,935041",1E+020,"469,935041","0,000477",2,RA,472,"-2,064959","2,064959",
"rand-20-25-25-750-2,dssp",1,302,302,302,"0,000294",10,RA,302,0,0,
"rand-20-5-5-1000-1,dssp",1,576,576,576,"0,000551",10,RA,576,0,0,
"rand-20-5-5-1000-2,dssp",1,380,380,380,"0,000564",10,RA,380,0,0,
"rand-20-5-5-250-1,dssp",1,141,141,141,"0,000105",10,RA,141,0,0,
"rand-20-5-5-250-2,dssp",1,96,96,96,"0,000109",10,RA,96,0,0,
