frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand-20-10-10-1000-1,dssp",1,-1000,-1000,-1000,"180,000398",10,-1000,VNS,0,
"rand-20-10-10-1000-2,dssp",1,-1000,-1000,-1000,"180,000309",10,-1000,VNS,0,
"rand-20-10-10-250-1,dssp",1,-250,-250,-250,"180,000119",10,-250,VNS,0,
"rand-20-10-10-250-2,dssp",1,-250,-250,-250,"180,00015",10,-250,VNS,0,
"rand-20-10-10-500-1,dssp",1,-500,-500,-500,"180,000188",10,-500,VNS,0,
"rand-20-10-10-500-2,dssp",1,-500,-500,-500,"180,000242",10,-500,VNS,0,
"rand-20-10-10-750-1,dssp",1,-750,-750,-750,"180,000362",10,-750,VNS,0,
"rand-20-10-10-750-2,dssp",1,-750,-750,-750,"180,000189",10,-750,VNS,0,
"rand-20-15-15-1000-1,dssp",1,-1000,-1000,-1000,"180,000514",10,-1000,VNS,0,
"rand-20-15-15-1000-2,dssp",1,-1000,-1000,-1000,"180,000294",10,-1000,VNS,0,
"rand-20-15-15-250-1,dssp",1,-250,-250,-250,"180,00019",10,-250,VNS,0,
"rand-20-15-15-250-2,dssp",1,-250,-250,-250,"180,000191",10,-250,VNS,0,
"rand-20-15-15-500-1,dssp",1,-500,-500,-500,"180,000169",10,-500,VNS,0,
"rand-20-15-15-500-2,dssp",1,-500,-500,-500,"180,000244",10,-500,VNS,0,
"rand-20-15-15-750-1,dssp",1,-750,-750,-750,"180,000267",10,-750,VNS,0,
"rand-20-15-15-750-2,dssp",1,-750,-750,-750,"180,000224",10,-750,VNS,0,
"rand-20-20-20-1000-1,dssp",1,-1000,-1000,-1000,"180,000504",10,-1000,VNS,0,
"rand-20-20-20-1000-2,dssp",1,-1000,-1000,-1000,"180,000626",10,-1000,VNS,0,
"rand-20-20-20-250-1,dssp",1,-250,-250,-250,"180,00021",10,-250,VNS,0,
"rand-20-20-20-250-2,dssp",1,-250,-250,-250,"180,000197",10,-250,VNS,0,
"rand-20-20-20-500-1,dssp",1,-500,-500,-500,"180,000288",10,-500,VNS,0,
"rand-20-20-20-500-2,dssp",1,-500,-500,-500,"180,000364",10,-500,VNS,0,
"rand-20-20-20-750-1,dssp",1,-750,-750,-750,"180,000508",10,-750,VNS,0,
"rand-20-20-20-750-2,dssp",1,-750,-750,-750,"180,000429",10,-750,VNS,0,
