frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand0-20-10-10-20-1,dssp",1,13,13,13,"0,005022",10,NONE,NONE,,0
"rand0-20-10-10-20-2,dssp",1,9,9,9,"0,004734",10,NONE,NONE,,0
"rand0-20-10-10-20-3,dssp",1,6,6,6,"0,00444",10,NONE,NONE,,0
"rand0-20-10-10-20-4,dssp",1,5,5,5,"0,00432",10,NONE,NONE,,0
"rand0-20-10-10-20-5,dssp",1,4,4,4,"0,004301",10,NONE,NONE,,0
"rand0-20-15-15-30-1,dssp",1,19,19,19,"0,006147",10,NONE,NONE,,0
"rand0-20-15-15-30-2,dssp",1,13,13,13,"0,006054",10,NONE,NONE,,0
"rand0-20-15-15-30-3,dssp",1,10,10,10,"0,006973",10,NONE,NONE,,0
"rand0-20-15-15-30-4,dssp",1,7,7,7,"0,005533",10,NONE,NONE,,0
"rand0-20-15-15-30-5,dssp",1,6,6,6,"0,005615",10,NONE,NONE,,0
"rand0-20-20-20-40-1,dssp",1,27,27,27,"0,010233",10,NONE,NONE,,0
"rand0-20-20-20-40-2,dssp",1,18,18,18,"0,008451",10,NONE,NONE,,0
"rand0-20-20-20-40-3,dssp",1,13,13,13,"0,007292",10,NONE,NONE,,0
"rand0-20-20-20-40-4,dssp",1,10,10,10,"0,006879",10,NONE,NONE,,0
"rand0-20-20-20-40-5,dssp",1,8,8,8,"0,006759",10,NONE,NONE,,0
"rand0-20-25-25-50-1,dssp",1,34,34,34,"0,015475",10,NONE,NONE,,0
"rand0-20-25-25-50-2,dssp",1,21,21,21,"0,008635",10,NONE,NONE,,0
"rand0-20-25-25-50-3,dssp",1,16,16,16,"0,012084",10,NONE,NONE,,0
"rand0-20-25-25-50-4,dssp",1,12,12,12,"0,008419",10,NONE,NONE,,0
"rand0-20-25-25-50-5,dssp",1,10,10,10,"0,008388",10,NONE,NONE,,0
"rand0-20-5-5-10-1,dssp",1,7,7,7,"0,004137",10,NONE,NONE,,0
"rand0-20-5-5-10-2,dssp",1,4,4,4,"0,003574",10,NONE,NONE,,0
"rand0-20-5-5-10-3,dssp",1,3,3,3,"0,003235",10,NONE,NONE,,0
"rand0-20-5-5-10-4,dssp",1,2,2,2,"0,003208",10,NONE,NONE,,0
"rand0-20-5-5-10-5,dssp",1,2,2,2,"0,003214",10,NONE,NONE,,0
"rand0-2-10-10-20-1,dssp",1,6,6,6,"0,002949",10,NONE,NONE,,0
"rand0-2-10-10-20-2,dssp",1,5,5,5,"0,002948",10,NONE,NONE,,0
"rand0-2-10-10-20-3,dssp",1,4,4,4,"0,002972",10,NONE,NONE,,0
"rand0-2-10-10-20-4,dssp",1,3,3,3,"0,002998",10,NONE,NONE,,0
"rand0-2-10-10-20-5,dssp",1,3,3,3,"0,002959",10,NONE,NONE,,0
"rand0-2-15-15-30-1,dssp",15,12,12,11,"0,013482",10,NONE,NONE,,-1
"rand0-2-15-15-30-2,dssp",1,8,8,8,"0,003415",10,NONE,NONE,,0
"rand0-2-15-15-30-3,dssp",2,7,7,6,"0,003889",10,NONE,NONE,,-1
"rand0-2-15-15-30-4,dssp",1,5,5,5,"0,003417",10,NONE,NONE,,0
"rand0-2-15-15-30-5,dssp",1,5,5,5,"0,003361",10,NONE,NONE,,0
"rand0-2-20-20-40-1,dssp",9,16,16,16,"0,019435",10,NONE,NONE,,0
"rand0-2-20-20-40-2,dssp",1,11,11,11,"0,00379",10,NONE,NONE,,0
"rand0-2-20-20-40-3,dssp",1,9,9,9,"0,003793",10,NONE,NONE,,0
"rand0-2-20-20-40-4,dssp",1,8,8,8,"0,003995",10,NONE,NONE,,0
"rand0-2-20-20-40-5,dssp",1,6,6,6,"0,003729",10,NONE,NONE,,0
"rand0-2-25-25-50-1,dssp",2,18,18,18,"0,008037",10,NONE,NONE,,0
"rand0-2-25-25-50-2,dssp",2,14,14,14,"0,005387",10,NONE,NONE,,0
"rand0-2-25-25-50-3,dssp",1,10,10,10,"0,004368",10,NONE,NONE,,0
"rand0-2-25-25-50-4,dssp",1,8,8,8,"0,004345",10,NONE,NONE,,0
"rand0-2-25-25-50-5,dssp",1,7,7,7,"0,004334",10,NONE,NONE,,0
"rand0-2-5-5-10-1,dssp",1,4,4,4,"0,002876",10,NONE,NONE,,0
"rand0-2-5-5-10-2,dssp",1,3,3,3,"0,002618",10,NONE,NONE,,0
"rand0-2-5-5-10-3,dssp",1,3,3,3,"0,002537",10,NONE,NONE,,0
"rand0-2-5-5-10-4,dssp",1,1,1,1,"0,002507",10,NONE,NONE,,0
"rand0-2-5-5-10-5,dssp",1,2,2,2,"0,002673",10,NONE,NONE,,0
"rand0-4-10-10-20-1,dssp",1,10,10,10,"0,003707",10,NONE,NONE,,0
"rand0-4-10-10-20-2,dssp",1,8,8,8,"0,00366",10,NONE,NONE,,0
"rand0-4-10-10-20-3,dssp",1,5,5,5,"0,003225",10,NONE,NONE,,0
"rand0-4-10-10-20-4,dssp",1,5,5,5,"0,003166",10,NONE,NONE,,0
"rand0-4-10-10-20-5,dssp",1,4,4,4,"0,003321",10,NONE,NONE,,0
"rand0-4-15-15-30-1,dssp",2,17,17,17,"0,007463",10,NONE,NONE,,0
"rand0-4-15-15-30-2,dssp",1,11,11,11,"0,003796",10,NONE,NONE,,0
"rand0-4-15-15-30-3,dssp",1,9,9,9,"0,003897",10,NONE,NONE,,0
"rand0-4-15-15-30-4,dssp",1,6,6,6,"0,003519",10,NONE,NONE,,0
"rand0-4-15-15-30-5,dssp",1,6,6,6,"0,003521",10,NONE,NONE,,0
"rand0-4-20-20-40-1,dssp",11,21,21,21,"0,041514",10,NONE,NONE,,0
"rand0-4-20-20-40-2,dssp",1,15,15,15,"0,006423",10,NONE,NONE,,0
"rand0-4-20-20-40-3,dssp",1,11,11,11,"0,00475",10,NONE,NONE,,0
"rand0-4-20-20-40-4,dssp",1,9,9,9,"0,00421",10,NONE,NONE,,0
"rand0-4-20-20-40-5,dssp",1,7,7,7,"0,004112",10,NONE,NONE,,0
"rand0-4-25-25-50-1,dssp",2,28,28,28,"0,011467",10,NONE,NONE,,0
"rand0-4-25-25-50-2,dssp",2,18,18,18,"0,008149",10,NONE,NONE,,0
"rand0-4-25-25-50-3,dssp",2,13,13,13,"0,006118",10,NONE,NONE,,0
"rand0-4-25-25-50-4,dssp",1,10,10,10,"0,005156",10,NONE,NONE,,0
"rand0-4-25-25-50-5,dssp",1,9,9,9,"0,005031",10,NONE,NONE,,0
"rand0-4-5-5-10-1,dssp",1,6,6,6,"0,003103",10,NONE,NONE,,0
"rand0-4-5-5-10-2,dssp",1,4,4,4,"0,002737",10,NONE,NONE,,0
"rand0-4-5-5-10-3,dssp",1,2,2,2,"0,00269",10,NONE,NONE,,0
"rand0-4-5-5-10-4,dssp",1,1,1,1,"0,002589",10,NONE,NONE,,0
"rand0-4-5-5-10-5,dssp",1,2,2,2,"0,002601",10,NONE,NONE,,0
,,,,,,,,,,"-0,0266666667"
,,,,,,,,,,"0,1621921894"
