frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand0-20-10-10-20-1,dssp",5054,11,11,1,"0,829338",10,NONE,NONE,,
"rand0-20-10-10-20-2,dssp",153,7,7,"0,125664","0,138928",10,NONE,NONE,,
"rand0-20-10-10-20-3,dssp",137,5,5,0,"0,119136",10,NONE,NONE,,
"rand0-20-10-10-20-4,dssp",67,5,5,0,"0,107104",10,NONE,NONE,,
"rand0-20-10-10-20-5,dssp",157,4,4,0,"0,107903",10,NONE,NONE,,
"rand0-20-15-15-30-1,dssp",239548,16,16,1,"56,537471",10,NONE,NONE,,
"rand0-20-15-15-30-2,dssp",13558,11,11,0,"6,049395",10,NONE,NONE,,
"rand0-20-15-15-30-3,dssp",13845,8,8,0,"7,016904",10,NONE,NONE,,
"rand0-20-15-15-30-4,dssp",13563,7,7,0,"4,909724",10,NONE,NONE,,
"rand0-20-15-15-30-5,dssp",4311,5,5,0,"2,183869",10,NONE,NONE,,
"rand0-20-20-20-40-1,dssp",3716347,21,24,1,"1814,004613",5,NONE,NONE,,
"rand0-20-20-20-40-2,dssp",9114,14,14,0,"6,221395",10,NONE,NONE,,
"rand0-20-20-20-40-3,dssp",25888,11,11,0,"12,964238",10,NONE,NONE,,
"rand0-20-20-20-40-4,dssp",25698,9,9,0,"14,416262",10,NONE,NONE,,
"rand0-20-20-20-40-5,dssp",6018,7,7,0,"4,005212",10,NONE,NONE,,
"rand0-20-25-25-50-1,dssp",1340352,21,32,0,"1806,274998",5,NONE,NONE,,
"rand0-20-25-25-50-2,dssp",443273,18,18,0,"789,580224",10,NONE,NONE,,
"rand0-20-25-25-50-3,dssp",117525,13,13,0,"173,590941",10,NONE,NONE,,
"rand0-20-25-25-50-4,dssp",113351,10,10,0,"151,51276",10,NONE,NONE,,
"rand0-20-25-25-50-5,dssp",74374,9,9,0,"109,217392",10,NONE,NONE,,
"rand0-20-5-5-10-1,dssp",162,5,5,1,"0,042173",10,NONE,NONE,,
"rand0-20-5-5-10-2,dssp",76,3,3,1,"0,026755",10,NONE,NONE,,
"rand0-20-5-5-10-3,dssp",56,3,3,0,"0,019443",10,NONE,NONE,,
"rand0-20-5-5-10-4,dssp",12,2,2,0,"0,011851",10,NONE,NONE,,
"rand0-20-5-5-10-5,dssp",61,2,2,1,"0,016808",10,NONE,NONE,,
"rand0-2-10-10-20-1,dssp",1461,5,5,0,"0,209754",10,NONE,NONE,,
"rand0-2-10-10-20-2,dssp",192,4,4,0,"0,062381",10,NONE,NONE,,
"rand0-2-10-10-20-3,dssp",70,3,3,0,"0,04994",10,NONE,NONE,,
"rand0-2-10-10-20-4,dssp",232,3,3,0,"0,072126",10,NONE,NONE,,
"rand0-2-10-10-20-5,dssp",355,2,2,0,"0,07441",10,NONE,NONE,,
"rand0-2-15-15-30-1,dssp",338273,8,8,0,"56,936394",10,NONE,NONE,,
"rand0-2-15-15-30-2,dssp",18491,6,6,0,"3,028622",10,NONE,NONE,,
"rand0-2-15-15-30-3,dssp",1824,5,5,0,"0,495456",10,NONE,NONE,,
"rand0-2-15-15-30-4,dssp",2505,5,5,0,"0,568451",10,NONE,NONE,,
"rand0-2-15-15-30-5,dssp",315,4,4,0,"0,219134",10,NONE,NONE,,
"rand0-2-20-20-40-1,dssp",7097195,10,11,0,"1823,864433",5,NONE,NONE,,
"rand0-2-20-20-40-2,dssp",128289,9,9,0,"36,396632",10,NONE,NONE,,
"rand0-2-20-20-40-3,dssp",6855,7,7,0,"2,337884",10,NONE,NONE,,
"rand0-2-20-20-40-4,dssp",10083,6,6,0,"2,924848",10,NONE,NONE,,
"rand0-2-20-20-40-5,dssp",17143,5,5,0,"4,80973",10,NONE,NONE,,
"rand0-2-25-25-50-1,dssp",4004700,11,17,0,"1817,685472",5,NONE,NONE,,
"rand0-2-25-25-50-2,dssp",759968,11,11,0,"345,773386",10,NONE,NONE,,
"rand0-2-25-25-50-3,dssp",41508,9,9,0,"22,180218",10,NONE,NONE,,
"rand0-2-25-25-50-4,dssp",94303,7,7,0,"43,074183",10,NONE,NONE,,
"rand0-2-25-25-50-5,dssp",4462,6,6,0,"3,363398",10,NONE,NONE,,
"rand0-2-5-5-10-1,dssp",28,2,2,0,"0,010498",10,NONE,NONE,,
"rand0-2-5-5-10-2,dssp",24,2,2,0,"0,011169",10,NONE,NONE,,
"rand0-2-5-5-10-3,dssp",18,2,2,0,"0,009767",10,NONE,NONE,,
"rand0-2-5-5-10-4,dssp",8,1,1,0,"0,005717",10,NONE,NONE,,
"rand0-2-5-5-10-5,dssp",17,1,1,0,"0,009637",10,NONE,NONE,,
"rand0-4-10-10-20-1,dssp",4369,8,8,0,"0,529342",10,NONE,NONE,,
"rand0-4-10-10-20-2,dssp",1054,7,7,0,"0,191973",10,NONE,NONE,,
"rand0-4-10-10-20-3,dssp",380,4,4,0,"0,09542",10,NONE,NONE,,
"rand0-4-10-10-20-4,dssp",325,3,3,0,"0,093866",10,NONE,NONE,,
"rand0-4-10-10-20-5,dssp",68,3,3,0,"0,05123",10,NONE,NONE,,
"rand0-4-15-15-30-1,dssp",3539874,13,13,0,"928,679916",10,NONE,NONE,,
"rand0-4-15-15-30-2,dssp",2872,8,8,0,"1,163965",10,NONE,NONE,,
"rand0-4-15-15-30-3,dssp",2445,7,7,0,"0,984677",10,NONE,NONE,,
"rand0-4-15-15-30-4,dssp",2611,5,5,0,"1,024816",10,NONE,NONE,,
"rand0-4-15-15-30-5,dssp",2672,5,5,0,"0,997453",10,NONE,NONE,,
"rand0-4-20-20-40-1,dssp",3469152,15,20,0,"1817,37209",5,NONE,NONE,,
"rand0-4-20-20-40-2,dssp",43587,12,12,0,"21,390187",10,NONE,NONE,,
"rand0-4-20-20-40-3,dssp",20467,9,9,0,"9,216532",10,NONE,NONE,,
"rand0-4-20-20-40-4,dssp",15731,8,8,0,"8,499351",10,NONE,NONE,,
"rand0-4-20-20-40-5,dssp",7288,6,6,0,"4,259982",10,NONE,NONE,,
"rand0-4-25-25-50-1,dssp",1470428,15,1E+020,0,"1809,168459",5,NONE,NONE,,
"rand0-4-25-25-50-2,dssp",92200,14,14,0,"71,779558",10,NONE,NONE,,
"rand0-4-25-25-50-3,dssp",165326,11,11,0,"94,642581",10,NONE,NONE,,
"rand0-4-25-25-50-4,dssp",50165,8,8,0,"50,603249",10,NONE,NONE,,
"rand0-4-25-25-50-5,dssp",54896,8,8,0,"56,718455",10,NONE,NONE,,
"rand0-4-5-5-10-1,dssp",88,3,3,0,"0,021071",10,NONE,NONE,,
"rand0-4-5-5-10-2,dssp",83,3,3,0,"0,022198",10,NONE,NONE,,
"rand0-4-5-5-10-3,dssp",14,2,2,0,"0,009132",10,NONE,NONE,,
"rand0-4-5-5-10-4,dssp",17,1,1,0,"0,008421",10,NONE,NONE,,
"rand0-4-5-5-10-5,dssp",35,2,2,0,"0,01428",10,NONE,NONE,,
