frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand0-20-10-10-20-1,dssp",1,13,13,13,"0,000059",10,RA,13,0,
"rand0-20-10-10-20-2,dssp",1,9,9,9,"0,00006",10,RA,9,0,
"rand0-20-10-10-20-3,dssp",1,6,6,6,"0,000058",10,RA,6,0,
"rand0-20-10-10-20-4,dssp",1,5,5,5,"0,000059",10,RA,5,0,
"rand0-20-10-10-20-5,dssp",1,4,4,4,"0,000064",10,RA,4,0,
"rand0-20-15-15-30-1,dssp",1,19,19,19,"0,00006",10,RA,19,0,
"rand0-20-15-15-30-2,dssp",1,13,13,13,"0,000064",10,RA,13,0,
"rand0-20-15-15-30-3,dssp",1,10,10,10,"0,000064",10,RA,10,0,
"rand0-20-15-15-30-4,dssp",1,7,7,7,"0,000064",10,RA,7,0,
"rand0-20-15-15-30-5,dssp",1,6,6,6,"0,000069",10,RA,6,0,
"rand0-20-20-20-40-1,dssp",1,27,27,27,"0,000068",10,RA,27,0,
"rand0-20-20-20-40-2,dssp",1,18,18,18,"0,000066",10,RA,18,0,
"rand0-20-20-20-40-3,dssp",1,13,13,13,"0,000067",10,RA,13,0,
"rand0-20-20-20-40-4,dssp",1,10,10,10,"0,000065",10,RA,10,0,
"rand0-20-20-20-40-5,dssp",1,8,8,8,"0,000067",10,RA,8,0,
"rand0-20-25-25-50-1,dssp",1,34,34,34,"0,00007",10,RA,34,0,
"rand0-20-25-25-50-2,dssp",1,21,21,21,"0,000087",10,RA,21,0,
"rand0-20-25-25-50-3,dssp",1,16,16,16,"0,000071",10,RA,16,0,
"rand0-20-25-25-50-4,dssp",1,12,12,12,"0,00007",10,RA,12,0,
"rand0-20-25-25-50-5,dssp",1,10,10,10,"0,000069",10,RA,10,0,
"rand0-20-5-5-10-1,dssp",1,7,7,7,"0,000056",10,RA,7,0,
"rand0-20-5-5-10-2,dssp",1,4,4,4,"0,000061",10,RA,4,0,
"rand0-20-5-5-10-3,dssp",1,3,3,3,"0,000056",10,RA,3,0,
"rand0-20-5-5-10-4,dssp",1,2,2,2,"0,000058",10,RA,2,0,
"rand0-20-5-5-10-5,dssp",1,2,2,2,"0,000053",10,RA,2,0,
"rand0-2-10-10-20-1,dssp",1,6,6,6,"0,000049",10,RA,6,0,
"rand0-2-10-10-20-2,dssp",1,5,5,5,"0,000043",10,RA,5,0,
"rand0-2-10-10-20-3,dssp",1,4,4,4,"0,000052",10,RA,4,0,
"rand0-2-10-10-20-4,dssp",1,3,3,3,"0,000044",10,RA,3,0,
"rand0-2-10-10-20-5,dssp",1,3,3,3,"0,000058",10,RA,3,0,
"rand0-2-15-15-30-1,dssp",1,11,1E+020,11,"0,000068",2,RA,12,-1,
"rand0-2-15-15-30-2,dssp",1,8,8,8,"0,000056",10,RA,8,0,
"rand0-2-15-15-30-3,dssp",1,6,1E+020,6,"0,000061",2,RA,7,-1,
"rand0-2-15-15-30-4,dssp",1,5,5,5,"0,000055",10,RA,5,0,
"rand0-2-15-15-30-5,dssp",1,5,5,5,"0,000055",10,RA,5,0,
"rand0-2-20-20-40-1,dssp",1,16,1E+020,16,"0,000074",2,RA,17,-1,
"rand0-2-20-20-40-2,dssp",1,11,11,11,"0,000056",10,RA,11,0,
"rand0-2-20-20-40-3,dssp",1,9,9,9,"0,000057",10,RA,9,0,
"rand0-2-20-20-40-4,dssp",1,8,8,8,"0,000063",10,RA,8,0,
"rand0-2-20-20-40-5,dssp",1,6,6,6,"0,000052",10,RA,6,0,
"rand0-2-25-25-50-1,dssp",1,18,1E+020,18,"0,000073",2,RA,19,-1,
"rand0-2-25-25-50-2,dssp",1,14,1E+020,14,"0,000069",2,RA,15,-1,
"rand0-2-25-25-50-3,dssp",1,10,10,10,"0,000057",10,RA,10,0,
"rand0-2-25-25-50-4,dssp",1,8,8,8,"0,000056",10,RA,8,0,
"rand0-2-25-25-50-5,dssp",1,7,7,7,"0,000059",10,RA,7,0,
"rand0-2-5-5-10-1,dssp",1,4,4,4,"0,000056",10,RA,4,0,
"rand0-2-5-5-10-2,dssp",1,3,3,3,"0,00005",10,RA,3,0,
"rand0-2-5-5-10-3,dssp",1,3,3,3,"0,000053",10,RA,3,0,
"rand0-2-5-5-10-4,dssp",1,1,1,1,"0,00005",10,RA,1,0,
"rand0-2-5-5-10-5,dssp",1,2,2,2,"0,000047",10,RA,2,0,
"rand0-4-10-10-20-1,dssp",1,10,10,10,"0,000053",10,RA,10,0,
"rand0-4-10-10-20-2,dssp",1,8,8,8,"0,000052",10,RA,8,0,
"rand0-4-10-10-20-3,dssp",1,5,5,5,"0,000047",10,RA,5,0,
"rand0-4-10-10-20-4,dssp",1,5,5,5,"0,000059",10,RA,5,0,
"rand0-4-10-10-20-5,dssp",1,4,4,4,"0,000054",10,RA,4,0,
"rand0-4-15-15-30-1,dssp",1,17,1E+020,17,"0,000067",2,RA,18,-1,
"rand0-4-15-15-30-2,dssp",1,11,11,11,"0,000051",10,RA,11,0,
"rand0-4-15-15-30-3,dssp",1,9,9,9,"0,000073",10,RA,9,0,
"rand0-4-15-15-30-4,dssp",1,6,6,6,"0,000053",10,RA,6,0,
"rand0-4-15-15-30-5,dssp",1,6,6,6,"0,000054",10,RA,6,0,
"rand0-4-20-20-40-1,dssp",1,21,1E+020,21,"0,000072",2,RA,22,-1,
"rand0-4-20-20-40-2,dssp",1,15,15,15,"0,00006",10,RA,15,0,
"rand0-4-20-20-40-3,dssp",1,11,11,11,"0,00006",10,RA,11,0,
"rand0-4-20-20-40-4,dssp",1,9,9,9,"0,000058",10,RA,9,0,
"rand0-4-20-20-40-5,dssp",1,7,7,7,"0,000055",10,RA,7,0,
"rand0-4-25-25-50-1,dssp",1,28,1E+020,28,"0,000073",2,RA,29,-1,
"rand0-4-25-25-50-2,dssp",1,18,1E+020,18,"0,000078",2,RA,19,-1,
"rand0-4-25-25-50-3,dssp",1,13,1E+020,13,"0,000072",2,RA,13,0,
"rand0-4-25-25-50-4,dssp",1,10,10,10,"0,000057",10,RA,10,0,
"rand0-4-25-25-50-5,dssp",1,9,9,9,"0,000063",10,RA,9,0,
"rand0-4-5-5-10-1,dssp",1,6,6,6,"0,000054",10,RA,6,0,
"rand0-4-5-5-10-2,dssp",1,4,4,4,"0,000044",10,RA,4,0,
"rand0-4-5-5-10-3,dssp",1,2,2,2,"0,000053",10,RA,2,0,
"rand0-4-5-5-10-4,dssp",1,1,1,1,"0,000052",10,RA,1,0,
