frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand0-20-10-10-20-1,dssp",1,13,13,13,"180,000105",10,13,VNS,0,
"rand0-20-10-10-20-2,dssp",1,9,9,9,"180,00011",10,9,VNS,0,
"rand0-20-10-10-20-3,dssp",1,6,6,6,"180,000097",10,6,VNS,0,
"rand0-20-10-10-20-4,dssp",1,5,5,5,"180,000109",10,5,VNS,0,
"rand0-20-10-10-20-5,dssp",1,4,4,4,"180,000113",10,4,VNS,0,
"rand0-20-15-15-30-1,dssp",1,19,19,19,"180,000115",10,19,VNS,0,
"rand0-20-15-15-30-2,dssp",1,13,13,13,"180,000113",10,13,VNS,0,
"rand0-20-15-15-30-3,dssp",1,10,10,10,"180,000115",10,10,VNS,0,
"rand0-20-15-15-30-4,dssp",1,7,7,7,"180,00012",10,7,VNS,0,
"rand0-20-15-15-30-5,dssp",1,6,6,6,"180,000116",10,6,VNS,0,
"rand0-20-20-20-40-1,dssp",1,27,27,27,"180,000116",10,27,VNS,0,
"rand0-20-20-20-40-2,dssp",1,18,18,18,"180,000124",10,18,VNS,0,
"rand0-20-20-20-40-3,dssp",1,13,13,13,"180,000129",10,13,VNS,0,
"rand0-20-20-20-40-4,dssp",1,10,10,10,"180,00013",10,10,VNS,0,
"rand0-20-20-20-40-5,dssp",1,8,8,8,"180,0001",10,8,VNS,0,
"rand0-20-25-25-50-1,dssp",1,34,34,34,"180,000131",10,34,VNS,0,
"rand0-20-25-25-50-2,dssp",1,21,21,21,"180,000102",10,21,VNS,0,
"rand0-20-25-25-50-3,dssp",1,16,16,16,"180,000125",10,16,VNS,0,
"rand0-20-25-25-50-4,dssp",1,12,12,12,"180,000129",10,12,VNS,0,
"rand0-20-25-25-50-5,dssp",1,10,10,10,"180,000116",10,10,VNS,0,
"rand0-20-5-5-10-1,dssp",1,7,7,7,"180,000106",10,7,VNS,0,
"rand0-20-5-5-10-2,dssp",1,4,4,4,"180,00011",10,4,VNS,0,
"rand0-20-5-5-10-3,dssp",1,3,3,3,"180,000107",10,3,VNS,0,
"rand0-20-5-5-10-4,dssp",1,2,2,2,"180,000109",10,2,VNS,0,
"rand0-20-5-5-10-5,dssp",1,2,2,2,"180,000111",10,2,VNS,0,
"rand0-2-10-10-20-1,dssp",1,6,6,6,"180,000109",10,6,VNS,0,
"rand0-2-10-10-20-2,dssp",1,5,5,5,"180,000105",10,5,VNS,0,
"rand0-2-10-10-20-3,dssp",1,4,4,4,"180,000108",10,4,VNS,0,
"rand0-2-10-10-20-4,dssp",1,3,3,3,"180,000104",10,3,VNS,0,
"rand0-2-10-10-20-5,dssp",1,3,3,3,"180,00011",10,3,VNS,0,
"rand0-2-15-15-30-1,dssp",1,11,1E+020,11,"180,000092",2,12,VNS,-1,
"rand0-2-15-15-30-2,dssp",1,8,8,8,"180,00011",10,8,VNS,0,
"rand0-2-15-15-30-3,dssp",1,6,1E+020,6,"180,000103",2,7,VNS,-1,
"rand0-2-15-15-30-4,dssp",1,5,5,5,"180,000104",10,5,VNS,0,
"rand0-2-15-15-30-5,dssp",1,5,5,5,"180,000103",10,5,VNS,0,
"rand0-2-20-20-40-1,dssp",1,16,1E+020,16,"180,000108",2,17,VNS,-1,
"rand0-2-20-20-40-2,dssp",1,11,11,11,"180,000113",10,11,VNS,0,
"rand0-2-20-20-40-3,dssp",1,9,9,9,"180,000113",10,9,VNS,0,
"rand0-2-20-20-40-4,dssp",1,8,8,8,"180,000115",10,8,VNS,0,
"rand0-2-20-20-40-5,dssp",1,6,6,6,"180,000105",10,6,VNS,0,
"rand0-2-25-25-50-1,dssp",1,18,1E+020,18,"180,000114",2,19,VNS,-1,
"rand0-2-25-25-50-2,dssp",1,14,1E+020,14,"180,000121",2,14,VNS,0,
"rand0-2-25-25-50-3,dssp",1,10,10,10,"180,000122",10,10,VNS,0,
"rand0-2-25-25-50-4,dssp",1,8,8,8,"180,000119",10,8,VNS,0,
"rand0-2-25-25-50-5,dssp",1,7,7,7,"180,000131",10,7,VNS,0,
