frac,inteiras,filename,nodes,lb,ub,root,time,status,filename,valor
rand0-20-10-10-20-1.dssp,1,1.000000,100000000000000000000.000000,1.000000,0.000084,2,RA,13.000000,11,"7,2133333333"
rand0-20-10-10-20-2.dssp,1,0.125664,100000000000000000000.000000,0.125664,0.000082,2,RA,12.000000,7,"4,6069669137"
rand0-20-10-10-20-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000083,2,RA,11.000000,5,
rand0-20-10-10-20-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000081,2,RA,12.000000,5,
rand0-20-10-10-20-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000079,2,RA,12.000000,4,
rand0-20-15-15-30-1.dssp,1,1.000000,100000000000000000000.000000,1.000000,0.000099,2,RA,20.000000,16,
rand0-20-15-15-30-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000090,2,RA,19.000000,11,
rand0-20-15-15-30-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000090,2,RA,18.000000,8,
rand0-20-15-15-30-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000092,2,RA,19.000000,7,
rand0-20-15-15-30-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000091,2,RA,19.000000,5,
rand0-20-20-20-40-1.dssp,1,1.000000,100000000000000000000.000000,1.000000,0.000104,2,RA,28.000000,21,
rand0-20-20-20-40-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000103,2,RA,27.000000,14,
rand0-20-20-20-40-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000102,2,RA,25.000000,11,
rand0-20-20-20-40-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000125,2,RA,25.000000,9,
rand0-20-20-20-40-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000105,2,RA,25.000000,7,
rand0-20-25-25-50-1.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000113,2,RA,35.000000,21,
rand0-20-25-25-50-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000115,2,RA,34.000000,18,
rand0-20-25-25-50-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000111,2,RA,34.000000,13,
rand0-20-25-25-50-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000115,2,RA,33.000000,10,
rand0-20-25-25-50-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000138,2,RA,34.000000,9,
rand0-20-5-5-10-1.dssp,1,1.000000,100000000000000000000.000000,1.000000,0.000061,2,RA,6.000000,5,
rand0-20-5-5-10-2.dssp,1,1.000000,100000000000000000000.000000,1.000000,0.000083,2,RA,6.000000,3,
rand0-20-5-5-10-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000054,2,RA,4.000000,3,
rand0-20-5-5-10-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000058,2,RA,4.000000,2,
rand0-20-5-5-10-5.dssp,1,1.000000,100000000000000000000.000000,1.000000,0.000053,2,RA,5.000000,2,
rand0-2-10-10-20-1.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000057,2,RA,6.000000,5,
rand0-2-10-10-20-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000056,2,RA,5.000000,4,
rand0-2-10-10-20-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000058,2,RA,7.000000,3,
rand0-2-10-10-20-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000054,2,RA,7.000000,3,
rand0-2-10-10-20-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000051,2,RA,4.000000,2,
rand0-2-15-15-30-1.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000067,2,RA,12.000000,8,
rand0-2-15-15-30-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000075,2,RA,7.000000,6,
rand0-2-15-15-30-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000074,2,RA,8.000000,5,
rand0-2-15-15-30-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000081,2,RA,11.000000,5,
rand0-2-15-15-30-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000077,2,RA,11.000000,4,
rand0-2-20-20-40-1.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000085,2,RA,15.000000,10,
rand0-2-20-20-40-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000087,2,RA,13.000000,9,
rand0-2-20-20-40-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000091,2,RA,12.000000,7,
rand0-2-20-20-40-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000084,2,RA,12.000000,6,
rand0-2-20-20-40-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000091,2,RA,12.000000,5,
rand0-2-25-25-50-1.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000106,2,RA,18.000000,11,
rand0-2-25-25-50-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000107,2,RA,17.000000,11,
rand0-2-25-25-50-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000101,2,RA,17.000000,9,
rand0-2-25-25-50-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000108,2,RA,15.000000,7,
rand0-2-25-25-50-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000105,2,RA,15.000000,6,
rand0-2-5-5-10-1.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000062,2,RA,3.000000,2,
rand0-2-5-5-10-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000062,2,RA,3.000000,2,
rand0-2-5-5-10-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000056,2,RA,3.000000,2,
rand0-2-5-5-10-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000059,2,RA,1.000000,1,
rand0-2-5-5-10-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000059,2,RA,3.000000,1,
rand0-4-10-10-20-1.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000061,2,RA,10.000000,8,
rand0-4-10-10-20-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000064,2,RA,11.000000,7,
rand0-4-10-10-20-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000062,2,RA,9.000000,4,
rand0-4-10-10-20-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000069,2,RA,11.000000,3,
rand0-4-10-10-20-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000065,2,RA,10.000000,3,
rand0-4-15-15-30-1.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000081,2,RA,17.000000,13,
rand0-4-15-15-30-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000084,2,RA,16.000000,8,
rand0-4-15-15-30-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000081,2,RA,15.000000,7,
rand0-4-15-15-30-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000081,2,RA,15.000000,5,
rand0-4-15-15-30-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000080,2,RA,17.000000,5,
rand0-4-20-20-40-1.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000096,2,RA,24.000000,15,
rand0-4-20-20-40-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000091,2,RA,23.000000,12,
rand0-4-20-20-40-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000092,2,RA,21.000000,9,
rand0-4-20-20-40-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000094,2,RA,20.000000,8,
rand0-4-20-20-40-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000091,2,RA,23.000000,6,
rand0-4-25-25-50-1.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000104,2,RA,27.000000,15,
rand0-4-25-25-50-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000114,2,RA,28.000000,14,
rand0-4-25-25-50-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000107,2,RA,28.000000,11,
rand0-4-25-25-50-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000109,2,RA,25.000000,8,
rand0-4-25-25-50-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000110,2,RA,28.000000,8,
rand0-4-5-5-10-1.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000064,2,RA,5.000000,3,
rand0-4-5-5-10-2.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000065,2,RA,5.000000,3,
rand0-4-5-5-10-3.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000061,2,RA,3.000000,2,
rand0-4-5-5-10-4.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000065,2,RA,3.000000,1,
rand0-4-5-5-10-5.dssp,1,0.000000,100000000000000000000.000000,0.000000,0.000060,2,RA,3.000000,2,
