frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand0-20-10-10-20-1,dssp",1,-20,-20,-20,"0,004417",10,NONE,NONE,,0
"rand0-20-10-10-20-2,dssp",1,-20,-20,-20,"0,004203",10,NONE,NONE,,0
"rand0-20-10-10-20-3,dssp",1,-20,-20,-20,"0,004045",10,NONE,NONE,,0
"rand0-20-10-10-20-4,dssp",1,-20,-20,-20,"0,003999",10,NONE,NONE,,0
"rand0-20-10-10-20-5,dssp",1,-20,-20,-20,"0,00398",10,NONE,NONE,,0
"rand0-20-15-15-30-1,dssp",1,-30,-30,-30,"0,005146",10,NONE,NONE,,0
"rand0-20-15-15-30-2,dssp",1,-30,-30,-30,"0,005126",10,NONE,NONE,,0
"rand0-20-15-15-30-3,dssp",1,-30,-30,-30,"0,005153",10,NONE,NONE,,0
"rand0-20-15-15-30-4,dssp",1,-30,-30,-30,"0,005065",10,NONE,NONE,,0
"rand0-20-15-15-30-5,dssp",1,-30,-30,-30,"0,005132",10,NONE,NONE,,0
"rand0-20-20-20-40-1,dssp",1,-40,-40,-40,"0,00614",10,NONE,NONE,,0
"rand0-20-20-20-40-2,dssp",1,-40,-40,-40,"0,006167",10,NONE,NONE,,0
"rand0-20-20-20-40-3,dssp",1,-40,-40,-40,"0,006229",10,NONE,NONE,,0
"rand0-20-20-20-40-4,dssp",1,-40,-40,-40,"0,006106",10,NONE,NONE,,0
"rand0-20-20-20-40-5,dssp",1,-40,-40,-40,"0,0061",10,NONE,NONE,,0
"rand0-20-25-25-50-1,dssp",1,-50,-50,-50,"0,007364",10,NONE,NONE,,0
"rand0-20-25-25-50-2,dssp",1,-50,-50,-50,"0,00745",10,NONE,NONE,,0
"rand0-20-25-25-50-3,dssp",1,-50,-50,-50,"0,007394",10,NONE,NONE,,0
"rand0-20-25-25-50-4,dssp",1,-50,-50,-50,"0,007432",10,NONE,NONE,,0
"rand0-20-25-25-50-5,dssp",1,-50,-50,-50,"0,007369",10,NONE,NONE,,0
"rand0-20-5-5-10-1,dssp",1,-10,-10,-10,"0,003197",10,NONE,NONE,,0
"rand0-20-5-5-10-2,dssp",1,-10,-10,-10,"0,003074",10,NONE,NONE,,0
"rand0-20-5-5-10-3,dssp",1,-10,-10,-10,"0,003111",10,NONE,NONE,,0
"rand0-20-5-5-10-4,dssp",1,-10,-10,-10,"0,003206",10,NONE,NONE,,0
"rand0-20-5-5-10-5,dssp",1,-10,-10,-10,"0,003131",10,NONE,NONE,,0
"rand0-2-10-10-20-1,dssp",1,-14,-14,-14,"0,00293",10,NONE,NONE,,0
"rand0-2-10-10-20-2,dssp",1,-15,-15,-15,"0,002825",10,NONE,NONE,,0
"rand0-2-10-10-20-3,dssp",1,-16,-16,-16,"0,002821",10,NONE,NONE,,0
"rand0-2-10-10-20-4,dssp",1,-17,-17,-17,"0,002738",10,NONE,NONE,,0
"rand0-2-10-10-20-5,dssp",1,-17,-17,-17,"0,002702",10,NONE,NONE,,0
"rand0-2-15-15-30-1,dssp",16,-18,-18,-19,"0,015016",10,NONE,NONE,,-1
"rand0-2-15-15-30-2,dssp",1,-22,-22,-22,"0,003453",10,NONE,NONE,,0
"rand0-2-15-15-30-3,dssp",2,-23,-23,-24,"0,003824",10,NONE,NONE,,-1
"rand0-2-15-15-30-4,dssp",1,-25,-25,-25,"0,003071",10,NONE,NONE,,0
"rand0-2-15-15-30-5,dssp",1,-25,-25,-25,"0,003175",10,NONE,NONE,,0
"rand0-2-20-20-40-1,dssp",3,-24,-24,-24,"0,009088",10,NONE,NONE,,0
"rand0-2-20-20-40-2,dssp",1,-29,-29,-29,"0,003684",10,NONE,NONE,,0
"rand0-2-20-20-40-3,dssp",2,-31,-31,-31,"0,004785",10,NONE,NONE,,0
"rand0-2-20-20-40-4,dssp",1,-32,-32,-32,"0,003843",10,NONE,NONE,,0
"rand0-2-20-20-40-5,dssp",1,-34,-34,-34,"0,003593",10,NONE,NONE,,0
"rand0-2-25-25-50-1,dssp",2,-32,-32,-32,"0,007847",10,NONE,NONE,,0
"rand0-2-25-25-50-2,dssp",2,-36,-36,-36,"0,005072",10,NONE,NONE,,0
"rand0-2-25-25-50-3,dssp",1,-40,-40,-40,"0,004236",10,NONE,NONE,,0
"rand0-2-25-25-50-4,dssp",1,-42,-42,-42,"0,004131",10,NONE,NONE,,0
"rand0-2-25-25-50-5,dssp",1,-43,-43,-43,"0,004047",10,NONE,NONE,,0
"rand0-2-5-5-10-1,dssp",1,-6,-6,-6,"0,002843",10,NONE,NONE,,0
"rand0-2-5-5-10-2,dssp",1,-7,-7,-7,"0,002567",10,NONE,NONE,,0
"rand0-2-5-5-10-3,dssp",1,-7,-7,-7,"0,002472",10,NONE,NONE,,0
"rand0-2-5-5-10-4,dssp",1,-9,-9,-9,"0,00246",10,NONE,NONE,,0
"rand0-2-5-5-10-5,dssp",1,-8,-8,-8,"0,002557",10,NONE,NONE,,0
"rand0-4-10-10-20-1,dssp",1,-18,-18,-18,"0,004359",10,NONE,NONE,,0
"rand0-4-10-10-20-2,dssp",1,-19,-19,-19,"0,003048",10,NONE,NONE,,0
"rand0-4-10-10-20-3,dssp",1,-19,-19,-19,"0,00296",10,NONE,NONE,,0
"rand0-4-10-10-20-4,dssp",1,-19,-19,-19,"0,002977",10,NONE,NONE,,0
"rand0-4-10-10-20-5,dssp",1,-19,-19,-19,"0,002951",10,NONE,NONE,,0
"rand0-4-15-15-30-1,dssp",2,-27,-27,-27,"0,007521",10,NONE,NONE,,0
"rand0-4-15-15-30-2,dssp",1,-28,-28,-28,"0,005",10,NONE,NONE,,0
"rand0-4-15-15-30-3,dssp",1,-29,-29,-29,"0,003798",10,NONE,NONE,,0
"rand0-4-15-15-30-4,dssp",1,-29,-29,-29,"0,003343",10,NONE,NONE,,0
"rand0-4-15-15-30-5,dssp",1,-29,-29,-29,"0,003363",10,NONE,NONE,,0
"rand0-4-20-20-40-1,dssp",10,-36,-36,"-36,079284","0,038809",10,NONE,NONE,,"-0,079284"
"rand0-4-20-20-40-2,dssp",1,-37,-37,-37,"0,009664",10,NONE,NONE,,0
"rand0-4-20-20-40-3,dssp",1,-38,-38,-38,"0,007102",10,NONE,NONE,,0
"rand0-4-20-20-40-4,dssp",1,-39,-39,-39,"0,003915",10,NONE,NONE,,0
"rand0-4-20-20-40-5,dssp",1,-39,-39,-39,"0,003899",10,NONE,NONE,,0
"rand0-4-25-25-50-1,dssp",19,-44,-44,-44,"0,098238",10,NONE,NONE,,0
"rand0-4-25-25-50-2,dssp",2,-47,-47,"-47,320877","0,017467",10,NONE,NONE,,"-0,320877"
"rand0-4-25-25-50-3,dssp",1,-48,-48,-48,"0,007917",10,NONE,NONE,,0
"rand0-4-25-25-50-4,dssp",1,-48,-48,-48,"0,008541",10,NONE,NONE,,0
"rand0-4-25-25-50-5,dssp",4,-48,-48,"-48,95","0,017099",10,NONE,NONE,,"-0,95"
"rand0-4-5-5-10-1,dssp",1,-9,-9,-9,"0,002655",10,NONE,NONE,,0
"rand0-4-5-5-10-2,dssp",1,-10,-10,-10,"0,002461",10,NONE,NONE,,0
"rand0-4-5-5-10-3,dssp",1,-10,-10,-10,"0,002454",10,NONE,NONE,,0
"rand0-4-5-5-10-4,dssp",1,-10,-10,-10,"0,002459",10,NONE,NONE,,0
"rand0-4-5-5-10-5,dssp",1,-10,-10,-10,"0,00247",10,NONE,NONE,,0
,,,,,,,,,,"-0,0446688133"
,,,,,,,,,,"0,1966647678"
