frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand0-20-10-10-20-1,dssp",1,-20,-20,-20,"0,000056",10,RA,-20,0,
"rand0-20-10-10-20-2,dssp",1,-20,-20,-20,"0,000045",10,RA,-20,0,
"rand0-20-10-10-20-3,dssp",1,-20,-20,-20,"0,000045",10,RA,-20,0,
"rand0-20-10-10-20-4,dssp",1,-20,-20,-20,"0,000044",10,RA,-20,0,
"rand0-20-10-10-20-5,dssp",1,-20,-20,-20,"0,000042",10,RA,-20,0,
"rand0-20-15-15-30-1,dssp",1,-30,-30,-30,"0,000048",10,RA,-30,0,
"rand0-20-15-15-30-2,dssp",1,-30,-30,-30,"0,000049",10,RA,-30,0,
"rand0-20-15-15-30-3,dssp",1,-30,-30,-30,"0,000047",10,RA,-30,0,
"rand0-20-15-15-30-4,dssp",1,-30,-30,-30,"0,000079",10,RA,-30,0,
"rand0-20-15-15-30-5,dssp",1,-30,-30,-30,"0,000048",10,RA,-30,0,
"rand0-20-20-20-40-1,dssp",1,-40,-40,-40,"0,000051",10,RA,-40,0,
"rand0-20-20-20-40-2,dssp",1,-40,-40,-40,"0,000054",10,RA,-40,0,
"rand0-20-20-20-40-3,dssp",1,-40,-40,-40,"0,000055",10,RA,-40,0,
"rand0-20-20-20-40-4,dssp",1,-40,-40,-40,"0,000056",10,RA,-40,0,
"rand0-20-20-20-40-5,dssp",1,-40,-40,-40,"0,000054",10,RA,-40,0,
"rand0-20-25-25-50-1,dssp",1,-50,-50,-50,"0,000062",10,RA,-50,0,
"rand0-20-25-25-50-2,dssp",1,-50,-50,-50,"0,000062",10,RA,-50,0,
"rand0-20-25-25-50-3,dssp",1,-50,-50,-50,"0,000064",10,RA,-50,0,
"rand0-20-25-25-50-4,dssp",1,-50,-50,-50,"0,00006",10,RA,-50,0,
"rand0-20-25-25-50-5,dssp",1,-50,-50,-50,"0,000063",10,RA,-50,0,
"rand0-20-5-5-10-1,dssp",1,-10,-10,-10,"0,00004",10,RA,-10,0,
"rand0-20-5-5-10-2,dssp",1,-10,-10,-10,"0,000037",10,RA,-10,0,
"rand0-20-5-5-10-3,dssp",1,-10,-10,-10,"0,000036",10,RA,-10,0,
"rand0-20-5-5-10-4,dssp",1,-10,-10,-10,"0,000036",10,RA,-10,0,
"rand0-20-5-5-10-5,dssp",1,-10,-10,-10,"0,000039",10,RA,-10,0,
"rand0-2-10-10-20-1,dssp",1,-14,-14,-14,"0,000036",10,RA,-14,0,
"rand0-2-10-10-20-2,dssp",1,-15,-15,-15,"0,000036",10,RA,-15,0,
"rand0-2-10-10-20-3,dssp",1,-16,-16,-16,"0,000034",10,RA,-16,0,
"rand0-2-10-10-20-4,dssp",1,-17,-17,-17,"0,000034",10,RA,-17,0,
"rand0-2-10-10-20-5,dssp",1,-17,-17,-17,"0,000034",10,RA,-17,0,
"rand0-2-15-15-30-1,dssp",1,-19,1E+020,-19,"0,000044",2,RA,-18,-1,
"rand0-2-15-15-30-2,dssp",1,-22,-22,-22,"0,000039",10,RA,-22,0,
"rand0-2-15-15-30-3,dssp",1,-24,1E+020,-24,"0,000043",2,RA,-23,-1,
"rand0-2-15-15-30-4,dssp",1,-25,-25,-25,"0,000035",10,RA,-25,0,
