frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand0-20-10-10-20-1,dssp",1,-15,-15,-15,"180,000099",10,-15,VNS,0,
"rand0-20-10-10-20-2,dssp",1,-16,-16,-16,"180,000102",10,-16,VNS,0,
"rand0-20-10-10-20-3,dssp",1,-16,-16,-16,"180,00011",10,-16,VNS,0,
"rand0-20-10-10-20-4,dssp",1,-16,-16,-16,"180,000098",10,-16,VNS,0,
"rand0-20-10-10-20-5,dssp",1,-16,-16,-16,"180,000094",10,-16,VNS,0,
"rand0-20-15-15-30-1,dssp",1,-23,-23,-23,"180,000147",10,-23,VNS,0,
"rand0-20-15-15-30-2,dssp",1,-24,-24,-24,"180,000129",10,-24,VNS,0,
"rand0-20-15-15-30-3,dssp",1,-24,-24,-24,"180,000108",10,-24,VNS,0,
"rand0-20-15-15-30-4,dssp",1,-24,-24,-24,"180,000139",10,-24,VNS,0,
"rand0-20-15-15-30-5,dssp",1,-24,-24,-24,"180,000104",10,-24,VNS,0,
"rand0-20-20-20-40-1,dssp",1,"-31,300422",1E+020,"-31,300422","180,000097",2,-30,VNS,"-1,300422",
"rand0-20-20-20-40-2,dssp",1,-31,-31,-31,"180,000175",10,-31,VNS,0,
"rand0-20-20-20-40-3,dssp",1,-31,-31,-31,"180,000201",10,-31,VNS,0,
"rand0-20-20-20-40-4,dssp",1,-31,-31,-31,"180,000205",10,-31,VNS,0,
"rand0-20-20-20-40-5,dssp",1,-31,-31,-31,"180,000179",10,-31,VNS,0,
"rand0-20-25-25-50-1,dssp",1,"-38,929257",1E+020,"-38,929257","180,000123",2,-38,VNS,"-0,929257",
"rand0-20-25-25-50-2,dssp",1,-39,1E+020,-39,"180,00022",2,-38,VNS,-1,
"rand0-20-25-25-50-3,dssp",1,-39,1E+020,-39,"180,000124",2,-38,VNS,-1,
"rand0-20-25-25-50-4,dssp",1,-39,-39,-39,"180,000318",10,-39,VNS,0,
"rand0-20-25-25-50-5,dssp",1,-39,-39,-39,"180,000149",10,-39,VNS,0,
"rand0-20-5-5-10-1,dssp",1,-8,-8,-8,"180,0001",10,-8,VNS,0,
"rand0-20-5-5-10-2,dssp",1,-8,-8,-8,"180,000104",10,-8,VNS,0,
"rand0-20-5-5-10-3,dssp",1,-8,-8,-8,"180,000108",10,-8,VNS,0,
"rand0-20-5-5-10-4,dssp",1,-8,-8,-8,"180,000107",10,-8,VNS,0,
"rand0-20-5-5-10-5,dssp",1,-8,-8,-8,"180,000104",10,-8,VNS,0,
"rand0-2-10-10-20-1,dssp",1,-8,1E+020,-8,"180,000107",2,-7,VNS,-1,
"rand0-2-10-10-20-2,dssp",1,-9,1E+020,-9,"180,000109",2,-8,VNS,-1,
"rand0-2-10-10-20-3,dssp",1,-8,1E+020,-8,"180,000116",2,-8,VNS,0,
"rand0-2-10-10-20-4,dssp",1,-8,1E+020,-8,"180,000107",2,-8,VNS,0,
"rand0-2-10-10-20-5,dssp",1,-10,-10,-10,"180,000109",10,-10,VNS,0,
"rand0-2-15-15-30-1,dssp",1,-12,1E+020,-12,"180,000108",2,-9,VNS,-3,
"rand0-2-15-15-30-2,dssp",1,-12,1E+020,-12,"180,000137",2,-11,VNS,-1,
"rand0-2-15-15-30-3,dssp",1,"-12,070144",1E+020,"-12,070144","180,000147",2,-11,VNS,"-1,070144",
"rand0-2-15-15-30-4,dssp",1,-12,1E+020,-12,"180,000132",2,-11,VNS,-1,
"rand0-2-15-15-30-5,dssp",1,-12,1E+020,-12,"180,000116",2,-11,VNS,-1,
"rand0-2-20-20-40-1,dssp",1,-16,1E+020,-16,"180,000098",2,-13,VNS,-3,
"rand0-2-20-20-40-2,dssp",1,"-16,027811",1E+020,"-16,027811","180,000125",2,-14,VNS,"-2,027811",
"rand0-2-20-20-40-3,dssp",1,-16,1E+020,-16,"180,000111",2,-15,VNS,-1,
"rand0-2-20-20-40-4,dssp",1,"-17,155549",1E+020,"-17,155549","180,000155",2,-16,VNS,"-1,155549",
"rand0-2-20-20-40-5,dssp",1,-17,1E+020,-17,"180,000199",2,-16,VNS,-1,
"rand0-2-25-25-50-1,dssp",1,-20,1E+020,-20,"180,000253",2,-15,VNS,-5,
"rand0-2-25-25-50-2,dssp",1,-20,1E+020,-20,"180,000146",2,-17,VNS,-3,
"rand0-2-25-25-50-3,dssp",1,-20,1E+020,-20,"180,000315",2,-17,VNS,-3,
"rand0-2-25-25-50-4,dssp",1,"-22,895445",1E+020,"-22,895445","180,000133",2,-22,VNS,"-0,895445",
"rand0-2-25-25-50-5,dssp",1,-20,1E+020,-20,"180,000184",2,-19,VNS,-1,
"rand0-2-5-5-10-1,dssp",1,-4,1E+020,-4,"180,000107",2,-3,VNS,-1,
"rand0-2-5-5-10-2,dssp",1,-4,-4,-4,"180,000105",10,-4,VNS,0,
"rand0-2-5-5-10-3,dssp",1,-4,-4,-4,"180,000102",10,-4,VNS,0,
"rand0-2-5-5-10-4,dssp",1,-5,-5,-5,"180,000105",10,-5,VNS,0,
"rand0-2-5-5-10-5,dssp",1,-4,-4,-4,"180,000104",10,-4,VNS,0,
"rand0-4-10-10-20-1,dssp",1,-13,1E+020,-13,"180,000102",2,-12,VNS,-1,
"rand0-4-10-10-20-2,dssp",1,-13,-13,-13,"180,000101",10,-13,VNS,0,
"rand0-4-10-10-20-3,dssp",1,-13,1E+020,-13,"180,000116",2,-12,VNS,-1,
"rand0-4-10-10-20-4,dssp",1,"-14,19362",1E+020,"-14,19362","180,000111",2,-13,VNS,"-1,19362",
"rand0-4-10-10-20-5,dssp",1,-14,-14,-14,"180,000105",10,-14,VNS,0,
"rand0-4-15-15-30-1,dssp",1,"-18,228562",1E+020,"-18,228562","180,000123",2,-17,VNS,"-1,228562",
"rand0-4-15-15-30-2,dssp",1,"-18,792013",1E+020,"-18,792013","180,00013",2,-17,VNS,"-1,792013",
"rand0-4-15-15-30-3,dssp",1,-20,1E+020,-20,"180,000121",2,-19,VNS,-1,
"rand0-4-15-15-30-4,dssp",1,-20,1E+020,-20,"180,00014",2,-20,VNS,0,
"rand0-4-15-15-30-5,dssp",1,-21,-21,-21,"180,00014",10,-21,VNS,0,
"rand0-4-20-20-40-1,dssp",1,-24,1E+020,-24,"180,000153",2,-22,VNS,-2,
"rand0-4-20-20-40-2,dssp",1,-25,1E+020,-25,"180,000198",2,-24,VNS,-1,
"rand0-4-20-20-40-3,dssp",1,-25,1E+020,-25,"180,000144",2,-24,VNS,-1,
"rand0-4-20-20-40-4,dssp",1,"-27,059039",1E+020,"-27,059039","180,00019",2,-26,VNS,"-1,059039",
"rand0-4-20-20-40-5,dssp",1,"-26,965123",1E+020,"-26,965123","180,000159",2,-26,VNS,"-0,965123",
"rand0-4-25-25-50-1,dssp",1,"-30,700301",1E+020,"-30,700301","180,000207",2,-28,VNS,"-2,700301",
"rand0-4-25-25-50-2,dssp",1,"-31,737124",1E+020,"-31,737124","180,000305",2,-30,VNS,"-1,737124",
"rand0-4-25-25-50-3,dssp",1,-31,1E+020,-31,"180,000246",2,-30,VNS,-1,
"rand0-4-25-25-50-4,dssp",1,"-33,237475",1E+020,"-33,237475","180,000245",2,-32,VNS,"-1,237475",
"rand0-4-25-25-50-5,dssp",1,"-32,229968",1E+020,"-32,229968","180,000208",2,-31,VNS,"-1,229968",
"rand0-4-5-5-10-1,dssp",1,-6,-6,-6,"180,000102",10,-6,VNS,0,
"rand0-4-5-5-10-2,dssp",1,-7,-7,-7,"180,000113",10,-7,VNS,0,
"rand0-4-5-5-10-3,dssp",1,-7,-7,-7,"180,000108",10,-7,VNS,0,
"rand0-4-5-5-10-4,dssp",1,-7,-7,-7,"180,000107",10,-7,VNS,0,
"rand0-4-5-5-10-5,dssp",1,-7,-7,-7,"180,000107",10,-7,VNS,0,
,,,,,,,,,"-0,7536247067",
,,,,,,,,,"0,9788611196",
