frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand-20-100-100-10-1,dssp",1,-7,-7,-7,"0,000056",10,RA,-7,0,
"rand-20-100-100-10-2,dssp",1,-7,-7,-7,"0,000052",10,RA,-7,0,
"rand-20-100-100-15-1,dssp",1,-11,1E+020,-11,"0,000066",2,RA,-9,-2,
"rand-20-100-100-15-2,dssp",1,-11,-11,-11,"0,000052",10,RA,-11,0,
"rand-20-100-100-20-1,dssp",1,-15,1E+020,-15,"0,000077",2,RA,-13,-2,
"rand-20-100-100-20-2,dssp",1,-15,1E+020,-15,"0,000077",2,RA,-14,-1,
"rand-20-100-100-25-1,dssp",1,-19,1E+020,-19,"0,000091",2,RA,-17,-2,
"rand-20-100-100-25-2,dssp",1,-19,1E+020,-19,"0,000087",2,RA,-18,-1,
"rand-20-100-100-5-1,dssp",1,-3,-3,-3,"0,000048",10,RA,-3,0,
"rand-20-100-100-5-2,dssp",1,-3,-3,-3,"0,000042",10,RA,-3,0,
"rand-20-150-150-10-1,dssp",1,-7,1E+020,-7,"0,000068",2,RA,-6,-1,
"rand-20-150-150-10-2,dssp",1,-7,-7,-7,"0,000058",10,RA,-7,0,
"rand-20-150-150-15-1,dssp",1,-11,1E+020,-11,"0,000074",2,RA,-9,-2,
"rand-20-150-150-15-2,dssp",1,-11,1E+020,-11,"0,000077",2,RA,-9,-2,
"rand-20-150-150-20-1,dssp",1,-15,1E+020,-15,"0,000096",2,RA,-12,-3,
"rand-20-150-150-20-2,dssp",1,-15,1E+020,-15,"0,000091",2,RA,-13,-2,
"rand-20-150-150-25-1,dssp",1,-19,1E+020,-19,"0,000121",2,RA,-17,-2,
"rand-20-150-150-25-2,dssp",1,-19,1E+020,-19,"0,000111",2,RA,-17,-2,
"rand-20-150-150-5-1,dssp",1,-3,-3,-3,"0,000048",10,RA,-3,0,
"rand-20-150-150-5-2,dssp",1,-3,-3,-3,"0,000045",10,RA,-3,0,
"rand-20-200-200-10-1,dssp",1,-7,1E+020,-7,"0,000077",2,RA,-6,-1,
"rand-20-200-200-10-2,dssp",1,-7,-7,-7,"0,000065",10,RA,-7,0,
"rand-20-200-200-15-1,dssp",1,-11,1E+020,-11,"0,000098",2,RA,-8,-3,
"rand-20-200-200-15-2,dssp",1,-11,1E+020,-11,"0,000085",2,RA,-8,-3,
"rand-20-200-200-20-1,dssp",1,-15,1E+020,-15,"0,000111",2,RA,-13,-2,
"rand-20-200-200-20-2,dssp",1,-15,1E+020,-15,"0,00011",2,RA,-12,-3,
"rand-20-200-200-25-1,dssp",1,-19,1E+020,-19,"0,000131",2,RA,-16,-3,
"rand-20-200-200-25-2,dssp",1,-19,1E+020,-19,"0,000136",2,RA,-16,-3,
"rand-20-200-200-5-1,dssp",1,-3,-3,-3,"0,000052",10,RA,-3,0,
"rand-20-200-200-5-2,dssp",1,-3,-3,-3,"0,000048",10,RA,-3,0,
"rand-20-250-250-10-1,dssp",1,-7,1E+020,-7,"0,00009",2,RA,-5,-2,
"rand-20-250-250-10-2,dssp",1,-7,-7,-7,"0,000072",10,RA,-7,0,
"rand-20-250-250-15-1,dssp",1,-11,1E+020,-11,"0,0001",2,RA,-8,-3,
"rand-20-250-250-15-2,dssp",1,-11,1E+020,-11,"0,000099",2,RA,-8,-3,
"rand-20-250-250-20-1,dssp",1,-15,1E+020,-15,"0,000128",2,RA,-12,-3,
"rand-20-250-250-20-2,dssp",1,-15,1E+020,-15,"0,000124",2,RA,-12,-3,
"rand-20-250-250-25-1,dssp",1,-19,1E+020,-19,"0,000163",2,RA,-16,-3,
"rand-20-250-250-25-2,dssp",1,-19,1E+020,-19,"0,000156",2,RA,-17,-2,
"rand-20-250-250-5-1,dssp",1,-3,-3,-3,"0,00006",10,RA,-3,0,
"rand-20-250-250-5-2,dssp",1,-3,-3,-3,"0,000055",10,RA,-3,0,
"rand-20-50-50-10-1,dssp",1,-7,-7,-7,"0,000048",10,RA,-7,0,
"rand-20-50-50-10-2,dssp",1,-7,-7,-7,"0,000044",10,RA,-7,0,
"rand-20-50-50-15-1,dssp",1,-11,-11,-11,"0,000052",10,RA,-11,0,
"rand-20-50-50-15-2,dssp",1,-11,-11,-11,"0,000051",10,RA,-11,0,
"rand-20-50-50-20-1,dssp",1,-15,1E+020,-15,"0,000066",2,RA,-14,-1,
"rand-20-50-50-20-2,dssp",1,-15,-15,-15,"0,000061",10,RA,-15,0,
"rand-20-50-50-25-1,dssp",1,-19,1E+020,-19,"0,000078",2,RA,-18,-1,
"rand-20-50-50-25-2,dssp",1,-19,1E+020,-19,"0,000078",2,RA,-18,-1,
"rand-20-50-50-5-1,dssp",1,-3,-3,-3,"0,000042",10,RA,-3,0,
"rand-20-50-50-5-2,dssp",1,-4,-4,-4,"0,000038",10,RA,-4,0,
"rand-4-100-100-10-1,dssp",1,-6,1E+020,-6,"0,000053",2,RA,-1,-5,
"rand-4-100-100-10-2,dssp",1,"-6,116496",1E+020,"-6,116496","0,000056",2,RA,-5,"-1,116496",
"rand-4-100-100-15-1,dssp",1,-9,1E+020,-9,"0,000069",2,RA,-4,-5,
"rand-4-100-100-15-2,dssp",1,-9,1E+020,-9,"0,00007",2,RA,-5,-4,
"rand-4-100-100-20-1,dssp",1,-12,1E+020,-12,"0,000086",2,RA,-4,-8,
"rand-4-100-100-20-2,dssp",1,"-12,12488",1E+020,"-12,12488","0,000082",2,RA,-9,"-3,12488",
"rand-4-100-100-25-1,dssp",1,-15,1E+020,-15,"0,000096",2,RA,-10,-5,
"rand-4-100-100-25-2,dssp",1,"-15,182287",1E+020,"-15,182287","0,000096",2,RA,-13,"-2,182287",
"rand-4-100-100-5-1,dssp",1,-3,1E+020,-3,"0,000058",2,RA,-1,-2,
"rand-4-100-100-5-2,dssp",1,-3,1E+020,-3,"0,00005",2,RA,-2,-1,
"rand-4-150-150-10-1,dssp",1,-6,1E+020,-6,"0,000064",2,RA,-3,-3,
"rand-4-150-150-10-2,dssp",1,-6,1E+020,-6,"0,000066",2,RA,-1,-5,
"rand-4-150-150-15-1,dssp",1,-9,1E+020,-9,"0,000084",2,RA,-5,-4,
"rand-4-150-150-15-2,dssp",1,-9,1E+020,-9,"0,000082",2,RA,-5,-4,
"rand-4-150-150-20-1,dssp",1,-12,1E+020,-12,"0,000099",2,RA,-4,-8,
"rand-4-150-150-20-2,dssp",1,-12,1E+020,-12,"0,000102",2,RA,-8,-4,
"rand-4-150-150-25-1,dssp",1,-15,1E+020,-15,"0,000126",2,RA,-8,-7,
"rand-4-150-150-25-2,dssp",1,"-15,004479",1E+020,"-15,004479","0,000111",2,RA,-12,"-3,004479",
"rand-4-150-150-5-1,dssp",1,-3,1E+020,-3,"0,000059",2,RA,0,-3,
"rand-4-150-150-5-2,dssp",1,-3,1E+020,-3,"0,000055",2,RA,-2,-1,
"rand-4-200-200-10-1,dssp",1,-6,1E+020,-6,"0,000073",2,RA,-1,-5,
"rand-4-200-200-10-2,dssp",1,-6,1E+020,-6,"0,000074",2,RA,-2,-4,
"rand-4-200-200-15-1,dssp",1,-9,1E+020,-9,"0,000094",2,RA,-5,-4,
"rand-4-200-200-15-2,dssp",1,"-9,064611",1E+020,"-9,064611","0,000093",2,RA,-7,"-2,064611",
"rand-4-200-200-20-1,dssp",1,-12,1E+020,-12,"0,000117",2,RA,-5,-7,
"rand-4-200-200-20-2,dssp",1,-12,1E+020,-12,"0,000112",2,RA,-5,-7,
"rand-4-200-200-25-1,dssp",1,-15,1E+020,-15,"0,00013",2,RA,-9,-6,
"rand-4-200-200-25-2,dssp",1,-15,1E+020,-15,"0,000185",2,RA,-8,-7,
"rand-4-200-200-5-1,dssp",1,-3,1E+020,-3,"0,000075",2,RA,-1,-2,
"rand-4-200-200-5-2,dssp",1,-3,1E+020,-3,"0,000065",2,RA,-2,-1,
"rand-4-250-250-10-1,dssp",1,-6,1E+020,-6,"0,000082",2,RA,-2,-4,
"rand-4-250-250-10-2,dssp",1,-6,1E+020,-6,"0,000077",2,RA,-2,-4,
"rand-4-250-250-15-1,dssp",1,-9,1E+020,-9,"0,000105",2,RA,-3,-6,
