frac,inteiras,filename,nodes,lb,ub,root,time,status,nodes,valor,
"rand-20-10-10-1000-1,dssp",1,0,1E+020,0,"0,003658",2,RA,747,624,-123,
"rand-20-10-10-1000-2,dssp",1,0,1E+020,0,"0,003655",2,RA,745,616,-129,
"rand-20-10-10-250-1,dssp",1,0,1E+020,0,"0,000388",2,RA,184,151,-33,
"rand-20-10-10-250-2,dssp",1,0,1E+020,0,"0,000414",2,RA,184,139,-45,
"rand-20-10-10-500-1,dssp",1,0,1E+020,0,"0,00095",2,RA,371,304,-67,
"rand-20-10-10-500-2,dssp",1,0,1E+020,0,"0,000937",2,RA,371,290,-81,"-79,6666666667"
"rand-20-10-10-750-1,dssp",1,0,1E+020,0,"0,002019",2,RA,559,1E+020,,"39,6316371939"
"rand-20-10-10-750-2,dssp",1,0,1E+020,0,"0,002021",2,RA,556,1E+020,,
"rand-20-15-15-1000-1,dssp",1,0,1E+020,0,"0,005158",2,RA,746,1E+020,,
"rand-20-15-15-1000-2,dssp",1,0,1E+020,0,"0,005122",2,RA,745,1E+020,,
"rand-20-15-15-250-1,dssp",1,0,1E+020,0,"0,000493",2,RA,185,166,,
"rand-20-15-15-250-2,dssp",1,0,1E+020,0,"0,000485",2,RA,185,155,,
"rand-20-15-15-500-1,dssp",1,0,1E+020,0,"0,001436",2,RA,371,345,,
"rand-20-15-15-500-2,dssp",1,0,1E+020,0,"0,001428",2,RA,373,342,,
"rand-20-15-15-750-1,dssp",1,0,1E+020,0,"0,002927",2,RA,557,1E+020,,
"rand-20-15-15-750-2,dssp",1,0,1E+020,0,"0,002905",2,RA,559,1E+020,,
"rand-20-20-20-1000-1,dssp",1,0,1E+020,0,"0,00672",2,RA,748,1E+020,,
"rand-20-20-20-1000-2,dssp",1,0,1E+020,0,"0,006662",2,RA,747,1E+020,,
"rand-20-20-20-250-1,dssp",1,0,1E+020,0,"0,000518",2,RA,185,1E+020,,
"rand-20-20-20-250-2,dssp",1,0,1E+020,0,"0,000521",2,RA,185,1E+020,,
"rand-20-20-20-500-1,dssp",1,0,1E+020,0,"0,001809",2,RA,372,1E+020,,
"rand-20-20-20-500-2,dssp",1,0,1E+020,0,"0,001777",2,RA,371,1E+020,,
"rand-20-20-20-750-1,dssp",1,0,1E+020,0,"0,003952",2,RA,558,1E+020,,
"rand-20-20-20-750-2,dssp",1,0,1E+020,0,"0,003782",2,RA,559,1E+020,,
"rand-20-25-25-1000-1,dssp",1,0,1E+020,0,"0,009133",2,RA,746,1E+020,,
"rand-20-25-25-1000-2,dssp",1,0,1E+020,0,"0,008323",2,RA,746,1E+020,,
"rand-20-25-25-250-1,dssp",1,0,1E+020,0,"0,000984",2,RA,184,1E+020,,
"rand-20-25-25-250-2,dssp",1,0,1E+020,0,"0,000676",2,RA,186,1E+020,,
"rand-20-25-25-500-1,dssp",1,0,1E+020,0,"0,00213",2,RA,374,1E+020,,
"rand-20-25-25-500-2,dssp",1,0,1E+020,0,"0,002184",2,RA,372,1E+020,,
"rand-20-25-25-750-1,dssp",1,0,1E+020,0,"0,004678",2,RA,559,1E+020,,
"rand-20-25-25-750-2,dssp",1,0,1E+020,0,"0,004917",2,RA,558,1E+020,,
"rand-20-5-5-1000-1,dssp",1,0,1E+020,0,"0,002108",2,RA,745,524,,
"rand-20-5-5-1000-2,dssp",1,0,1E+020,0,"0,002156",2,RA,745,499,,
"rand-20-5-5-250-1,dssp",1,0,1E+020,0,"0,000266",2,RA,183,111,,
"rand-20-5-5-250-2,dssp",1,0,1E+020,0,"0,000243",2,RA,185,75,,
"rand-20-5-5-500-1,dssp",1,0,1E+020,0,"0,000552",2,RA,371,249,,
"rand-20-5-5-500-2,dssp",1,0,1E+020,0,"0,000555",2,RA,371,207,,
"rand-20-5-5-750-1,dssp",1,0,1E+020,0,"0,001214",2,RA,557,1E+020,,
"rand-20-5-5-750-2,dssp",1,0,1E+020,0,"0,001277",2,RA,558,1E+020,,
"rand-4-10-10-1000-1,dssp",1,0,1E+020,0,"0,003196",2,RA,574,461,,
"rand-4-10-10-1000-2,dssp",1,0,1E+020,0,"0,003207",2,RA,572,454,,
"rand-4-10-10-250-1,dssp",1,0,1E+020,0,"0,000293",2,RA,144,112,,
"rand-4-10-10-250-2,dssp",1,0,1E+020,0,"0,000292",2,RA,144,108,,
"rand-4-10-10-500-1,dssp",1,0,1E+020,0,"0,000891",2,RA,283,226,,
"rand-4-10-10-500-2,dssp",1,0,1E+020,0,"0,000881",2,RA,288,225,,
"rand-4-10-10-750-1,dssp",1,0,1E+020,0,"0,001849",2,RA,429,1E+020,,
"rand-4-10-10-750-2,dssp",1,0,1E+020,0,"0,00184",2,RA,432,1E+020,,
"rand-4-15-15-1000-1,dssp",1,0,1E+020,0,"0,004745",2,RA,578,1E+020,,
"rand-4-15-15-1000-2,dssp",1,0,1E+020,0,"0,004736",2,RA,571,1E+020,,
"rand-4-15-15-250-1,dssp",1,0,1E+020,0,"0,000399",2,RA,147,121,,
"rand-4-15-15-250-2,dssp",1,0,1E+020,0,"0,000389",2,RA,147,121,,
"rand-4-15-15-500-1,dssp",1,0,1E+020,0,"0,001263",2,RA,286,243,,
"rand-4-15-15-500-2,dssp",1,0,1E+020,0,"0,001276",2,RA,285,245,,
"rand-4-15-15-750-1,dssp",1,0,1E+020,0,"0,002726",2,RA,430,1E+020,,
"rand-4-15-15-750-2,dssp",1,0,1E+020,0,"0,00272",2,RA,432,1E+020,,
"rand-4-20-20-1000-1,dssp",1,0,1E+020,0,"0,006271",2,RA,574,1E+020,,
"rand-4-20-20-1000-2,dssp",1,0,1E+020,0,"0,006399",2,RA,579,1E+020,,
"rand-4-20-20-250-1,dssp",1,0,1E+020,0,"0,000506",2,RA,143,127,,
"rand-4-20-20-250-2,dssp",1,0,1E+020,0,"0,000505",2,RA,144,126,,
"rand-4-20-20-500-1,dssp",1,0,1E+020,0,"0,001659",2,RA,285,1E+020,,
"rand-4-20-20-500-2,dssp",1,0,1E+020,0,"0,001663",2,RA,286,1E+020,,
"rand-4-20-20-750-1,dssp",1,0,1E+020,0,"0,003583",2,RA,429,1E+020,,
"rand-4-20-20-750-2,dssp",1,0,1E+020,0,"0,003588",2,RA,434,1E+020,,
"rand-4-25-25-1000-1,dssp",1,0,1E+020,0,"0,007802",2,RA,582,1E+020,,
"rand-4-25-25-1000-2,dssp",1,0,1E+020,0,"0,007808",2,RA,578,1E+020,,
"rand-4-25-25-250-1,dssp",1,0,1E+020,0,"0,000591",2,RA,146,1E+020,,
"rand-4-25-25-250-2,dssp",1,0,1E+020,0,"0,0006",2,RA,148,1E+020,,
"rand-4-25-25-500-1,dssp",1,0,1E+020,0,"0,002043",2,RA,292,1E+020,,
"rand-4-25-25-500-2,dssp",1,0,1E+020,0,"0,002068",2,RA,289,1E+020,,
"rand-4-25-25-750-1,dssp",1,0,1E+020,0,"0,004455",2,RA,435,1E+020,,
"rand-4-25-25-750-2,dssp",1,0,1E+020,0,"0,004481",2,RA,437,1E+020,,
"rand-4-5-5-1000-1,dssp",1,0,1E+020,0,"0,0017",2,RA,580,391,,
"rand-4-5-5-1000-2,dssp",1,0,1E+020,0,"0,001652",2,RA,585,381,,
"rand-4-5-5-250-1,dssp",1,0,1E+020,0,"0,000196",2,RA,141,91,,
"rand-4-5-5-250-2,dssp",1,0,1E+020,0,"0,000197",2,RA,142,69,,
"rand-4-5-5-500-1,dssp",1,0,1E+020,0,"0,000516",2,RA,289,192,,
"rand-4-5-5-500-2,dssp",1,0,1E+020,0,"0,000517",2,RA,289,165,,
"rand-4-5-5-750-1,dssp",1,0,1E+020,0,"0,000977",2,RA,428,294,,
"rand-4-5-5-750-2,dssp",1,0,1E+020,0,"0,000975",2,RA,427,278,,
