frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand-20-10-10-1000-1,dssp",1,-1000,-1000,-1000,"0,000418",10,RA,-1000,0,
"rand-20-10-10-1000-2,dssp",1,-1000,-1000,-1000,"0,000389",10,RA,-1000,0,
"rand-20-10-10-250-1,dssp",1,-250,-250,-250,"0,000084",10,RA,-250,0,
"rand-20-10-10-250-2,dssp",1,-250,-250,-250,"0,000084",10,RA,-250,0,
"rand-20-10-10-500-1,dssp",1,-500,-500,-500,"0,000138",10,RA,-500,0,
"rand-20-10-10-500-2,dssp",1,-500,-500,-500,"0,000136",10,RA,-500,0,
"rand-20-10-10-750-1,dssp",1,-750,-750,-750,"0,00027",10,RA,-750,0,
"rand-20-10-10-750-2,dssp",1,-750,-750,-750,"0,000205",10,RA,-750,0,
"rand-20-15-15-1000-1,dssp",1,-1000,-1000,-1000,"0,000398",10,RA,-1000,0,
"rand-20-15-15-1000-2,dssp",1,-1000,-1000,-1000,"0,000361",10,RA,-1000,0,
"rand-20-15-15-250-1,dssp",1,-250,-250,-250,"0,000084",10,RA,-250,0,
"rand-20-15-15-250-2,dssp",1,-250,-250,-250,"0,000085",10,RA,-250,0,
"rand-20-15-15-500-1,dssp",1,-500,-500,-500,"0,000144",10,RA,-500,0,
"rand-20-15-15-500-2,dssp",1,-500,-500,-500,"0,000142",10,RA,-500,0,
"rand-20-15-15-750-1,dssp",1,-750,-750,-750,"0,000214",10,RA,-750,0,
"rand-20-15-15-750-2,dssp",1,-750,-750,-750,"0,000286",10,RA,-750,0,
"rand-20-20-20-1000-1,dssp",1,-1000,-1000,-1000,"0,000443",10,RA,-1000,0,
"rand-20-20-20-1000-2,dssp",1,-1000,-1000,-1000,"0,000387",10,RA,-1000,0,
"rand-20-20-20-250-1,dssp",1,-250,-250,-250,"0,000085",10,RA,-250,0,
"rand-20-20-20-250-2,dssp",1,-250,-250,-250,"0,000084",10,RA,-250,0,
"rand-20-20-20-500-1,dssp",1,-500,-500,-500,"0,000151",10,RA,-500,0,
"rand-20-20-20-500-2,dssp",1,-500,-500,-500,"0,000148",10,RA,-500,0,
"rand-20-20-20-750-1,dssp",1,-750,-750,-750,"0,000242",10,RA,-750,0,
"rand-20-20-20-750-2,dssp",1,-750,-750,-750,"0,000267",10,RA,-750,0,
"rand-20-25-25-1000-1,dssp",1,-1000,-1000,-1000,"0,000408",10,RA,-1000,0,
"rand-20-25-25-1000-2,dssp",1,-1000,-1000,-1000,"0,000401",10,RA,-1000,0,
"rand-20-25-25-250-1,dssp",1,-250,-250,-250,"0,000091",10,RA,-250,0,
"rand-20-25-25-250-2,dssp",1,-250,-250,-250,"0,00009",10,RA,-250,0,
"rand-20-25-25-500-1,dssp",1,-500,-500,-500,"0,000149",10,RA,-500,0,
"rand-20-25-25-500-2,dssp",1,-500,-500,-500,"0,000152",10,RA,-500,0,
"rand-20-25-25-750-1,dssp",1,-750,-750,-750,"0,000276",10,RA,-750,0,
"rand-20-25-25-750-2,dssp",1,-750,-750,-750,"0,000225",10,RA,-750,0,
"rand-20-5-5-1000-1,dssp",1,-1000,-1000,-1000,"0,000371",10,RA,-1000,0,
"rand-20-5-5-1000-2,dssp",1,-1000,-1000,-1000,"0,000301",10,RA,-1000,0,
"rand-20-5-5-250-1,dssp",1,-250,-250,-250,"0,00008",10,RA,-250,0,
"rand-20-5-5-250-2,dssp",1,-250,-250,-250,"0,000084",10,RA,-250,0,
"rand-20-5-5-500-1,dssp",1,-500,-500,-500,"0,000129",10,RA,-500,0,
"rand-20-5-5-500-2,dssp",1,-500,-500,-500,"0,000131",10,RA,-500,0,
"rand-20-5-5-750-1,dssp",1,-750,-750,-750,"0,000211",10,RA,-750,0,
"rand-20-5-5-750-2,dssp",1,-750,-750,-750,"0,000193",10,RA,-750,0,
"rand-4-10-10-1000-1,dssp",1,-921,1E+020,-921,"0,000134",2,RA,-920,-1,
"rand-4-10-10-1000-2,dssp",1,-962,-962,-962,"0,000098",10,RA,-962,0,
"rand-4-10-10-250-1,dssp",1,-231,-231,-231,"0,000048",10,RA,-231,0,
"rand-4-10-10-250-2,dssp",1,-240,-240,-240,"0,000049",10,RA,-240,0,
"rand-4-10-10-500-1,dssp",1,-462,-462,-462,"0,00007",10,RA,-462,0,
"rand-4-10-10-500-2,dssp",1,-480,-480,-480,"0,000071",10,RA,-480,0,
"rand-4-10-10-750-1,dssp",1,-694,1E+020,-694,"0,000121",2,RA,-693,-1,
"rand-4-10-10-750-2,dssp",1,-722,-722,-722,"0,000086",10,RA,-722,0,
"rand-4-15-15-1000-1,dssp",1,-907,-907,-907,"0,000112",10,RA,-907,0,
"rand-4-15-15-1000-2,dssp",1,-950,-950,-950,"0,000118",10,RA,-950,0,
"rand-4-15-15-250-1,dssp",1,-226,-226,-226,"0,000054",10,RA,-226,0,
"rand-4-15-15-250-2,dssp",1,-237,1E+020,-237,"0,00008",2,RA,-236,-1,
"rand-4-15-15-500-1,dssp",1,-453,1E+020,-453,"0,000106",2,RA,-452,-1,
"rand-4-15-15-500-2,dssp",1,-475,-475,-475,"0,000094",10,RA,-475,0,
"rand-4-15-15-750-1,dssp",1,-677,-677,-677,"0,000116",10,RA,-677,0,
"rand-4-15-15-750-2,dssp",1,-710,-710,-710,"0,000116",10,RA,-710,0,
"rand-4-20-20-1000-1,dssp",1,-892,1E+020,-892,"0,000155",2,RA,-891,-1,
"rand-4-20-20-1000-2,dssp",1,-940,1E+020,-940,"0,000158",2,RA,-939,-1,
"rand-4-20-20-250-1,dssp",1,-223,-223,-223,"0,000076",10,RA,-223,0,
"rand-4-20-20-250-2,dssp",1,"-235,912821",1E+020,"-235,912821","0,000086",2,RA,-235,"-0,912821",
"rand-4-20-20-500-1,dssp",1,-448,1E+020,-448,"0,00011",2,RA,-447,-1,
"rand-4-20-20-500-2,dssp",1,-471,1E+020,-471,"0,000105",2,RA,-470,-1,
"rand-4-20-20-750-1,dssp",1,-673,1E+020,-673,"0,000136",2,RA,-672,-1,
"rand-4-20-20-750-2,dssp",1,-705,-705,-705,"0,000125",10,RA,-705,0,
"rand-4-25-25-1000-1,dssp",1,-886,1E+020,-886,"0,000169",2,RA,-884,-2,
"rand-4-25-25-1000-2,dssp",1,-933,1E+020,-933,"0,000172",2,RA,-932,-1,
"rand-4-25-25-250-1,dssp",1,-220,1E+020,-220,"0,000093",2,RA,-218,-2,
"rand-4-25-25-250-2,dssp",1,"-232,038823",1E+020,"-232,038823","0,000087",2,RA,-231,"-1,038823",
"rand-4-25-25-500-1,dssp",1,-443,1E+020,-443,"0,000114",2,RA,-442,-1,
"rand-4-25-25-500-2,dssp",1,"-467,890847",1E+020,"-467,890847","0,000116",2,RA,-466,"-1,890847",
"rand-4-25-25-750-1,dssp",1,-662,1E+020,-662,"0,00014",2,RA,-661,-1,
"rand-4-25-25-750-2,dssp",1,"-701,04",1E+020,"-701,04","0,000137",2,RA,-700,"-1,04",
"rand-4-5-5-1000-1,dssp",1,-967,-967,-967,"0,000112",10,RA,-967,0,
"rand-4-5-5-1000-2,dssp",1,-984,-984,-984,"0,000112",10,RA,-984,0,
"rand-4-5-5-250-1,dssp",1,-241,-241,-241,"0,000067",10,RA,-241,0,
"rand-4-5-5-250-2,dssp",1,-247,-247,-247,"0,000065",10,RA,-247,0,
"rand-4-5-5-500-1,dssp",1,-481,-481,-481,"0,000082",10,RA,-481,0,
"rand-4-5-5-500-2,dssp",1,-493,-493,-493,"0,000083",10,RA,-493,0,
"rand-4-5-5-750-1,dssp",1,-723,-723,-723,"0,000099",10,RA,-723,0,
"rand-4-5-5-750-2,dssp",1,-734,-734,-734,"0,000101",10,RA,-734,0,
,,,,,,,,,"-0,2610311375",
