frac,inteiras,filename,nodes,lb,ub,root,time,status,filename,valor
"rand0-20-10-10-20-1,dssp",1,1,1E+020,1,"180,000108",2,13,VNS,11,2
"rand0-20-10-10-20-2,dssp",1,"0,125664",1E+020,"0,125664","180,000107",2,12,VNS,7,5
"rand0-20-10-10-20-3,dssp",1,0,1E+020,0,"180,000116",2,11,VNS,5,6
"rand0-20-10-10-20-4,dssp",1,0,1E+020,0,"180,000108",2,12,VNS,5,7
"rand0-20-10-10-20-5,dssp",1,0,1E+020,0,"180,000108",2,12,VNS,4,8
"rand0-20-15-15-30-1,dssp",1,1,1E+020,1,"180,000106",2,20,VNS,16,4
"rand0-20-15-15-30-2,dssp",1,0,1E+020,0,"180,000133",2,19,VNS,11,8
"rand0-20-15-15-30-3,dssp",1,0,1E+020,0,"180,000108",2,18,VNS,8,10
"rand0-20-15-15-30-4,dssp",1,0,1E+020,0,"180,000102",2,18,VNS,7,11
"rand0-20-15-15-30-5,dssp",1,0,1E+020,0,"180,000109",2,19,VNS,5,14
"rand0-20-20-20-40-1,dssp",1,1,1E+020,1,"180,000178",2,28,VNS,21,7
"rand0-20-20-20-40-2,dssp",1,0,1E+020,0,"180,000207",2,27,VNS,14,13
"rand0-20-20-20-40-3,dssp",1,0,1E+020,0,"180,00014",2,25,VNS,11,14
"rand0-20-20-20-40-4,dssp",1,0,1E+020,0,"180,000178",2,25,VNS,9,16
"rand0-20-20-20-40-5,dssp",1,0,1E+020,0,"180,000198",2,25,VNS,7,18
"rand0-20-25-25-50-1,dssp",1,0,1E+020,0,"180,000215",2,34,VNS,21,13
"rand0-20-25-25-50-2,dssp",1,0,1E+020,0,"180,00013",2,34,VNS,18,16
"rand0-20-25-25-50-3,dssp",1,0,1E+020,0,"180,000304",2,34,VNS,13,21
"rand0-20-25-25-50-4,dssp",1,0,1E+020,0,"180,000208",2,33,VNS,10,23
"rand0-20-25-25-50-5,dssp",1,0,1E+020,0,"180,000147",2,34,VNS,9,25
"rand0-20-5-5-10-1,dssp",1,1,1E+020,1,"180,000112",2,6,VNS,5,1
"rand0-20-5-5-10-2,dssp",1,1,1E+020,1,"180,00011",2,6,VNS,3,3
"rand0-20-5-5-10-3,dssp",1,0,1E+020,0,"180,000107",2,4,VNS,3,1
"rand0-20-5-5-10-4,dssp",1,0,1E+020,0,"180,000113",2,4,VNS,2,2
"rand0-20-5-5-10-5,dssp",1,1,1E+020,1,"180,000107",2,5,VNS,2,3
"rand0-2-10-10-20-1,dssp",1,0,1E+020,0,"180,00011",2,6,VNS,5,1
"rand0-2-10-10-20-2,dssp",1,0,1E+020,0,"180,000109",2,5,VNS,4,1
"rand0-2-10-10-20-3,dssp",1,0,1E+020,0,"180,00011",2,7,VNS,3,4
"rand0-2-10-10-20-4,dssp",1,0,1E+020,0,"180,000105",2,7,VNS,3,4
"rand0-2-10-10-20-5,dssp",1,0,1E+020,0,"180,000111",2,4,VNS,2,2
"rand0-2-15-15-30-1,dssp",1,0,1E+020,0,"180,000135",2,12,VNS,8,4
"rand0-2-15-15-30-2,dssp",1,0,1E+020,0,"180,000125",2,7,VNS,6,1
"rand0-2-15-15-30-3,dssp",1,0,1E+020,0,"180,000103",2,8,VNS,5,3
"rand0-2-15-15-30-4,dssp",1,0,1E+020,0,"180,000146",2,11,VNS,5,6
"rand0-2-15-15-30-5,dssp",1,0,1E+020,0,"180,000107",2,11,VNS,4,7
"rand0-2-20-20-40-1,dssp",1,0,1E+020,0,"180,000205",2,15,VNS,10,5
"rand0-2-20-20-40-2,dssp",1,0,1E+020,0,"180,000149",2,13,VNS,9,4
"rand0-2-20-20-40-3,dssp",1,0,1E+020,0,"180,000138",2,12,VNS,7,5
"rand0-2-20-20-40-4,dssp",1,0,1E+020,0,"180,00018",2,12,VNS,6,6
"rand0-2-20-20-40-5,dssp",1,0,1E+020,0,"180,000193",2,12,VNS,5,7
"rand0-2-25-25-50-1,dssp",1,0,1E+020,0,"180,000287",2,18,VNS,11,7
"rand0-2-25-25-50-2,dssp",1,0,1E+020,0,"180,000287",2,17,VNS,11,6
