frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand0-20-10-10-20-1,dssp",1,-15,-15,-15,"0,000055",10,RA,-15,0,
"rand0-20-10-10-20-2,dssp",1,-16,-16,-16,"0,000044",10,RA,-16,0,
"rand0-20-10-10-20-3,dssp",1,-16,-16,-16,"0,000053",10,RA,-16,0,
"rand0-20-10-10-20-4,dssp",1,-16,-16,-16,"0,000044",10,RA,-16,0,
"rand0-20-10-10-20-5,dssp",1,-16,-16,-16,"0,000043",10,RA,-16,0,
"rand0-20-15-15-30-1,dssp",1,-23,-23,-23,"0,000055",10,RA,-23,0,
"rand0-20-15-15-30-2,dssp",1,-24,-24,-24,"0,000054",10,RA,-24,0,
"rand0-20-15-15-30-3,dssp",1,-24,-24,-24,"0,000054",10,RA,-24,0,
"rand0-20-15-15-30-4,dssp",1,-24,-24,-24,"0,000053",10,RA,-24,0,
"rand0-20-15-15-30-5,dssp",1,-24,-24,-24,"0,000054",10,RA,-24,0,
"rand0-20-20-20-40-1,dssp",1,"-31,300422",1E+020,"-31,300422","0,000078",2,RA,-30,"-1,300422",
"rand0-20-20-20-40-2,dssp",1,-31,-31,-31,"0,000068",10,RA,-31,0,
"rand0-20-20-20-40-3,dssp",1,-31,-31,-31,"0,000068",10,RA,-31,0,
"rand0-20-20-20-40-4,dssp",1,-31,-31,-31,"0,000066",10,RA,-31,0,
"rand0-20-20-20-40-5,dssp",1,-31,-31,-31,"0,000069",10,RA,-31,0,
"rand0-20-25-25-50-1,dssp",1,"-38,929257",1E+020,"-38,929257","0,000098",2,RA,-38,"-0,929257",
"rand0-20-25-25-50-2,dssp",1,-39,1E+020,-39,"0,000097",2,RA,-38,-1,
"rand0-20-25-25-50-3,dssp",1,-39,1E+020,-39,"0,000084",2,RA,-38,-1,
"rand0-20-25-25-50-4,dssp",1,-39,-39,-39,"0,000086",10,RA,-39,0,
"rand0-20-25-25-50-5,dssp",1,-39,-39,-39,"0,000084",10,RA,-39,0,
"rand0-20-5-5-10-1,dssp",1,-8,-8,-8,"0,000039",10,RA,-8,0,
"rand0-20-5-5-10-2,dssp",1,-8,-8,-8,"0,000036",10,RA,-8,0,
"rand0-20-5-5-10-3,dssp",1,-8,-8,-8,"0,000035",10,RA,-8,0,
"rand0-20-5-5-10-4,dssp",1,-8,-8,-8,"0,000037",10,RA,-8,0,
"rand0-20-5-5-10-5,dssp",1,-8,-8,-8,"0,000037",10,RA,-8,0,
"rand0-2-10-10-20-1,dssp",1,-8,1E+020,-8,"0,000045",2,RA,-6,-2,
"rand0-2-10-10-20-2,dssp",1,-9,1E+020,-9,"0,000045",2,RA,-7,-2,
"rand0-2-10-10-20-3,dssp",1,-8,1E+020,-8,"0,000045",2,RA,-7,-1,
"rand0-2-10-10-20-4,dssp",1,-8,1E+020,-8,"0,000045",2,RA,-7,-1,
"rand0-2-10-10-20-5,dssp",1,-10,-10,-10,"0,000036",10,RA,-10,0,
"rand0-2-15-15-30-1,dssp",1,-12,1E+020,-12,"0,000054",2,RA,-7,-5,
"rand0-2-15-15-30-2,dssp",1,-12,1E+020,-12,"0,000052",2,RA,-9,-3,
"rand0-2-15-15-30-3,dssp",1,"-12,070144",1E+020,"-12,070144","0,000054",2,RA,-10,"-2,070144",
"rand0-2-15-15-30-4,dssp",1,-12,1E+020,-12,"0,000055",2,RA,-10,-2,
"rand0-2-15-15-30-5,dssp",1,-12,1E+020,-12,"0,000055",2,RA,-9,-3,
"rand0-2-20-20-40-1,dssp",1,-16,1E+020,-16,"0,000068",2,RA,-10,-6,
"rand0-2-20-20-40-2,dssp",1,"-16,027811",1E+020,"-16,027811","0,000069",2,RA,-14,"-2,027811",
"rand0-2-20-20-40-3,dssp",1,-16,1E+020,-16,"0,000067",2,RA,-12,-4,
"rand0-2-20-20-40-4,dssp",1,"-17,155549",1E+020,"-17,155549","0,000069",2,RA,-15,"-2,155549",
"rand0-2-20-20-40-5,dssp",1,-17,1E+020,-17,"0,000071",2,RA,-15,-2,
"rand0-2-25-25-50-1,dssp",1,-20,1E+020,-20,"0,000087",2,RA,-12,-8,
"rand0-2-25-25-50-2,dssp",1,-20,1E+020,-20,"0,000086",2,RA,-10,-10,
"rand0-2-25-25-50-3,dssp",1,-20,1E+020,-20,"0,000086",2,RA,-12,-8,
"rand0-2-25-25-50-4,dssp",1,"-22,895445",1E+020,"-22,895445","0,000086",2,RA,-21,"-1,895445",
"rand0-2-25-25-50-5,dssp",1,-20,1E+020,-20,"0,000086",2,RA,-17,-3,
"rand0-2-5-5-10-1,dssp",1,-4,1E+020,-4,"0,000052",2,RA,-3,-1,
"rand0-2-5-5-10-2,dssp",1,-4,-4,-4,"0,000036",10,RA,-4,0,
"rand0-2-5-5-10-3,dssp",1,-4,-4,-4,"0,000035",10,RA,-4,0,
"rand0-2-5-5-10-4,dssp",1,-5,-5,-5,"0,000034",10,RA,-5,0,
"rand0-2-5-5-10-5,dssp",1,-4,-4,-4,"0,000033",10,RA,-4,0,
"rand0-4-10-10-20-1,dssp",1,-13,1E+020,-13,"0,000045",2,RA,-12,-1,
"rand0-4-10-10-20-2,dssp",1,-13,-13,-13,"0,000037",10,RA,-13,0,
"rand0-4-10-10-20-3,dssp",1,-13,1E+020,-13,"0,000046",2,RA,-12,-1,
"rand0-4-10-10-20-4,dssp",1,"-14,19362",1E+020,"-14,19362","0,000044",2,RA,-13,"-1,19362",
"rand0-4-10-10-20-5,dssp",1,-14,-14,-14,"0,000039",10,RA,-14,0,
"rand0-4-15-15-30-1,dssp",1,"-18,228562",1E+020,"-18,228562","0,000052",2,RA,-15,"-3,228562",
"rand0-4-15-15-30-2,dssp",1,"-18,792013",1E+020,"-18,792013","0,000053",2,RA,-16,"-2,792013",
"rand0-4-15-15-30-3,dssp",1,-20,1E+020,-20,"0,000052",2,RA,-18,-2,
"rand0-4-15-15-30-4,dssp",1,-20,1E+020,-20,"0,000052",2,RA,-19,-1,
"rand0-4-15-15-30-5,dssp",1,-21,-21,-21,"0,000044",10,RA,-21,0,
"rand0-4-20-20-40-1,dssp",1,-24,1E+020,-24,"0,000064",2,RA,-19,-5,
"rand0-4-20-20-40-2,dssp",1,-25,1E+020,-25,"0,000066",2,RA,-22,-3,
"rand0-4-20-20-40-3,dssp",1,-25,1E+020,-25,"0,000065",2,RA,-24,-1,
"rand0-4-20-20-40-4,dssp",1,"-27,059039",1E+020,"-27,059039","0,000063",2,RA,-26,"-1,059039",
"rand0-4-20-20-40-5,dssp",1,"-26,965123",1E+020,"-26,965123","0,000066",2,RA,-25,"-1,965123",
"rand0-4-25-25-50-1,dssp",1,"-30,700301",1E+020,"-30,700301","0,000084",2,RA,-26,"-4,700301",
"rand0-4-25-25-50-2,dssp",1,"-31,737124",1E+020,"-31,737124","0,000083",2,RA,-29,"-2,737124",
"rand0-4-25-25-50-3,dssp",1,-31,1E+020,-31,"0,000084",2,RA,-28,-3,
"rand0-4-25-25-50-4,dssp",1,"-33,237475",1E+020,"-33,237475","0,000087",2,RA,-31,"-2,237475",
"rand0-4-25-25-50-5,dssp",1,"-32,229968",1E+020,"-32,229968","0,000084",2,RA,-31,"-1,229968",
"rand0-4-5-5-10-1,dssp",1,-6,-6,-6,"0,000039",10,RA,-6,0,
"rand0-4-5-5-10-2,dssp",1,-7,-7,-7,"0,000038",10,RA,-7,0,
"rand0-4-5-5-10-3,dssp",1,-7,-7,-7,"0,000034",10,RA,-7,0,
"rand0-4-5-5-10-4,dssp",1,-7,-7,-7,"0,000035",10,RA,-7,0,
"rand0-4-5-5-10-5,dssp",1,-7,-7,-7,"0,000035",10,RA,-7,0,
,,,,,,,,,"-1,48695804",
,,,,,,,,,"2,0732976074",
