frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand-20-100-100-10-1,dssp",1,9,9,9,"180,00012",10,9,VNS,0,
"rand-20-100-100-10-2,dssp",1,5,5,5,"180,000131",10,5,VNS,0,
"rand-20-100-100-15-1,dssp",1,12,12,12,"180,000135",10,12,VNS,0,
"rand-20-100-100-15-2,dssp",1,7,7,7,"180,000131",10,7,VNS,0,
"rand-20-100-100-20-1,dssp",1,16,1E+020,16,"180,000148",2,16,VNS,0,
"rand-20-100-100-20-2,dssp",1,10,10,10,"180,000125",10,10,VNS,0,
"rand-20-100-100-25-1,dssp",1,18,18,18,"180,000148",10,18,VNS,0,
"rand-20-100-100-25-2,dssp",1,12,12,12,"180,00015",10,12,VNS,0,
"rand-20-100-100-5-1,dssp",1,5,5,5,"180,000123",10,5,VNS,0,
"rand-20-100-100-5-2,dssp",1,2,2,2,"180,000128",10,2,VNS,0,
"rand-20-150-150-10-1,dssp",1,8,8,8,"180,000135",10,8,VNS,0,
"rand-20-150-150-10-2,dssp",1,5,5,5,"180,000123",10,5,VNS,0,
"rand-20-150-150-15-1,dssp",1,12,12,12,"180,000153",10,12,VNS,0,
"rand-20-150-150-15-2,dssp",1,7,7,7,"180,00013",10,7,VNS,0,
"rand-20-150-150-20-1,dssp",1,16,16,16,"180,00014",10,16,VNS,0,
"rand-20-150-150-20-2,dssp",1,10,10,10,"180,000127",10,10,VNS,0,
"rand-20-150-150-25-1,dssp",1,19,19,19,"180,000122",10,19,VNS,0,
"rand-20-150-150-25-2,dssp",1,12,12,12,"180,000173",10,12,VNS,0,
"rand-20-150-150-5-1,dssp",1,5,5,5,"180,000137",10,5,VNS,0,
"rand-20-150-150-5-2,dssp",1,2,2,2,"180,00013",10,2,VNS,0,
"rand-20-200-200-10-1,dssp",1,9,9,9,"180,000136",10,9,VNS,0,
"rand-20-200-200-10-2,dssp",1,5,5,5,"180,000123",10,5,VNS,0,
"rand-20-200-200-15-1,dssp",1,12,12,12,"180,000121",10,12,VNS,0,
"rand-20-200-200-15-2,dssp",1,7,7,7,"180,000133",10,7,VNS,0,
"rand-20-200-200-20-1,dssp",1,16,16,16,"180,000138",10,16,VNS,0,
"rand-20-200-200-20-2,dssp",1,10,10,10,"180,000183",10,10,VNS,0,
"rand-20-200-200-25-1,dssp",1,19,19,19,"180,000174",10,19,VNS,0,
"rand-20-200-200-25-2,dssp",1,12,12,12,"180,000179",10,12,VNS,0,
"rand-20-200-200-5-1,dssp",1,5,5,5,"180,000114",10,5,VNS,0,
"rand-20-200-200-5-2,dssp",1,2,2,2,"180,000113",10,2,VNS,0,
"rand-20-250-250-10-1,dssp",1,9,9,9,"180,000157",10,9,VNS,0,
"rand-20-250-250-10-2,dssp",1,5,5,5,"180,000111",10,5,VNS,0,
"rand-20-250-250-15-1,dssp",1,12,12,12,"180,000139",10,12,VNS,0,
"rand-20-250-250-15-2,dssp",1,7,7,7,"180,000127",10,7,VNS,0,
"rand-20-250-250-20-1,dssp",1,16,16,16,"180,00016",10,16,VNS,0,
"rand-20-250-250-20-2,dssp",1,10,10,10,"180,000182",10,10,VNS,0,
"rand-20-250-250-25-1,dssp",1,19,19,19,"180,000206",10,19,VNS,0,
"rand-20-250-250-25-2,dssp",1,12,12,12,"180,000126",10,12,VNS,0,
"rand-20-250-250-5-1,dssp",1,5,5,5,"180,000128",10,5,VNS,0,
"rand-20-250-250-5-2,dssp",1,2,2,2,"180,000139",10,2,VNS,0,
"rand-20-50-50-10-1,dssp",1,8,8,8,"180,00011",10,8,VNS,0,
"rand-20-50-50-10-2,dssp",1,5,5,5,"180,000111",10,5,VNS,0,
"rand-20-50-50-15-1,dssp",1,12,12,12,"180,00012",10,12,VNS,0,
"rand-20-50-50-15-2,dssp",1,7,7,7,"180,000103",10,7,VNS,0,
"rand-20-50-50-20-1,dssp",1,15,15,15,"180,000122",10,15,VNS,0,
"rand-20-50-50-20-2,dssp",1,10,10,10,"180,000111",10,10,VNS,0,
"rand-20-50-50-25-1,dssp",1,18,18,18,"180,000121",10,18,VNS,0,
"rand-20-50-50-25-2,dssp",1,12,12,12,"180,00011",10,12,VNS,0,
"rand-20-50-50-5-1,dssp",1,5,5,5,"180,00011",10,5,VNS,0,
"rand-20-50-50-5-2,dssp",1,2,2,2,"180,000109",10,2,VNS,0,
"rand-4-100-100-10-1,dssp",1,8,1E+020,8,"180,000121",2,9,VNS,-1,
"rand-4-100-100-10-2,dssp",1,5,5,5,"180,000118",10,5,VNS,0,
"rand-4-100-100-15-1,dssp",1,"10,737409",1E+020,"10,737409","180,000113",2,12,VNS,"-1,262591",
"rand-4-100-100-15-2,dssp",1,7,7,7,"180,000131",10,7,VNS,0,
"rand-4-100-100-20-1,dssp",1,14,1E+020,14,"180,000109",2,14,VNS,0,
"rand-4-100-100-20-2,dssp",1,10,10,10,"180,000133",10,10,VNS,0,
"rand-4-100-100-25-1,dssp",1,17,1E+020,17,"180,000148",2,18,VNS,-1,
