frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand-20-100-100-10-1,dssp",1,-9,-9,-9,"180,000123",10,-9,VNS,0,
"rand-20-100-100-10-2,dssp",1,-10,-10,-10,"180,000124",10,-10,VNS,0,
"rand-20-100-100-15-1,dssp",1,-14,-14,-14,"180,000129",10,-14,VNS,0,
"rand-20-100-100-15-2,dssp",1,-14,-14,-14,"180,000117",10,-14,VNS,0,
"rand-20-100-100-20-1,dssp",1,-19,-19,-19,"180,000128",10,-19,VNS,0,
"rand-20-100-100-20-2,dssp",1,-19,-19,-19,"180,000116",10,-19,VNS,0,
"rand-20-100-100-25-1,dssp",1,-24,-24,-24,"180,000143",10,-24,VNS,0,
"rand-20-100-100-25-2,dssp",1,-24,-24,-24,"180,000134",10,-24,VNS,0,
"rand-20-100-100-5-1,dssp",1,-4,-4,-4,"180,000109",10,-4,VNS,0,
"rand-20-100-100-5-2,dssp",1,-5,-5,-5,"180,000118",10,-5,VNS,0,
"rand-20-150-150-10-1,dssp",1,-9,-9,-9,"180,00012",10,-9,VNS,0,
"rand-20-150-150-10-2,dssp",1,-9,-9,-9,"180,000122",10,-9,VNS,0,
"rand-20-150-150-15-1,dssp",1,-14,-14,-14,"180,000131",10,-14,VNS,0,
"rand-20-150-150-15-2,dssp",1,-14,-14,-14,"180,000147",10,-14,VNS,0,
"rand-20-150-150-20-1,dssp",1,-19,-19,-19,"180,000115",10,-19,VNS,0,
"rand-20-150-150-20-2,dssp",1,-19,-19,-19,"180,000123",10,-19,VNS,0,
"rand-20-150-150-25-1,dssp",1,-24,-24,-24,"180,00018",10,-24,VNS,0,
"rand-20-150-150-25-2,dssp",1,-24,-24,-24,"180,00012",10,-24,VNS,0,
"rand-20-150-150-5-1,dssp",1,-4,-4,-4,"180,000119",10,-4,VNS,0,
"rand-20-150-150-5-2,dssp",1,-4,-4,-4,"180,000124",10,-4,VNS,0,
"rand-20-200-200-10-1,dssp",1,-9,-9,-9,"180,000131",10,-9,VNS,0,
"rand-20-200-200-10-2,dssp",1,-9,-9,-9,"180,000152",10,-9,VNS,0,
"rand-20-200-200-15-1,dssp",1,-14,-14,-14,"180,000116",10,-14,VNS,0,
"rand-20-200-200-15-2,dssp",1,-14,-14,-14,"180,000164",10,-14,VNS,0,
"rand-20-200-200-20-1,dssp",1,-19,1E+020,-19,"180,000165",2,-18,VNS,-1,
"rand-20-200-200-20-2,dssp",1,-19,-19,-19,"180,000138",10,-19,VNS,0,
"rand-20-200-200-25-1,dssp",1,-24,1E+020,-24,"180,000133",2,-23,VNS,-1,
"rand-20-200-200-25-2,dssp",1,-24,-24,-24,"180,000167",10,-24,VNS,0,
"rand-20-200-200-5-1,dssp",1,-4,-4,-4,"180,000111",10,-4,VNS,0,
"rand-20-200-200-5-2,dssp",1,-4,-4,-4,"180,000116",10,-4,VNS,0,
"rand-20-250-250-10-1,dssp",1,-9,-9,-9,"180,000139",10,-9,VNS,0,
"rand-20-250-250-10-2,dssp",1,-9,-9,-9,"180,000148",10,-9,VNS,0,
"rand-20-250-250-15-1,dssp",1,-14,1E+020,-14,"180,000144",2,-13,VNS,-1,
"rand-20-250-250-15-2,dssp",1,-14,-14,-14,"180,00017",10,-14,VNS,0,
"rand-20-250-250-20-1,dssp",1,-19,1E+020,-19,"180,00012",2,-18,VNS,-1,
"rand-20-250-250-20-2,dssp",1,-19,1E+020,-19,"180,000179",2,-19,VNS,0,
"rand-20-250-250-25-1,dssp",1,-24,1E+020,-24,"180,00019",2,-23,VNS,-1,
"rand-20-250-250-25-2,dssp",1,-24,1E+020,-24,"180,000151",2,-24,VNS,0,
"rand-20-250-250-5-1,dssp",1,-4,-4,-4,"180,000118",10,-4,VNS,0,
"rand-20-250-250-5-2,dssp",1,-4,-4,-4,"180,000129",10,-4,VNS,0,
"rand-20-50-50-10-1,dssp",1,-10,-10,-10,"180,00011",10,-10,VNS,0,
"rand-20-50-50-10-2,dssp",1,-10,-10,-10,"180,00011",10,-10,VNS,0,
"rand-20-50-50-15-1,dssp",1,-14,-14,-14,"180,000111",10,-14,VNS,0,
"rand-20-50-50-15-2,dssp",1,-15,-15,-15,"180,000112",10,-15,VNS,0,
"rand-20-50-50-20-1,dssp",1,-20,-20,-20,"180,000115",10,-20,VNS,0,
"rand-20-50-50-20-2,dssp",1,-20,-20,-20,"180,000116",10,-20,VNS,0,
"rand-20-50-50-25-1,dssp",1,-25,-25,-25,"180,000126",10,-25,VNS,0,
"rand-20-50-50-25-2,dssp",1,-25,-25,-25,"180,000109",10,-25,VNS,0,
"rand-20-50-50-5-1,dssp",1,-5,-5,-5,"180,00011",10,-5,VNS,0,
"rand-20-50-50-5-2,dssp",1,-5,-5,-5,"180,000108",10,-5,VNS,0,
"rand-4-100-100-10-1,dssp",1,-7,1E+020,-7,"180,000128",2,-6,VNS,-1,
"rand-4-100-100-10-2,dssp",1,-8,1E+020,-8,"180,000128",2,-7,VNS,-1,
"rand-4-100-100-15-1,dssp",1,-11,1E+020,-11,"180,000118",2,-10,VNS,-1,
"rand-4-100-100-15-2,dssp",1,"-12,846466",1E+020,"-12,846466","180,000132",2,-12,VNS,"-0,846466",
"rand-4-100-100-20-1,dssp",1,-16,1E+020,-16,"180,000141",2,-15,VNS,-1,
"rand-4-100-100-20-2,dssp",1,"-17,221551",1E+020,"-17,221551","180,000131",2,-16,VNS,"-1,221551",
"rand-4-100-100-25-1,dssp",1,"-20,181843",1E+020,"-20,181843","180,000146",2,-19,VNS,"-1,181843",
"rand-4-100-100-25-2,dssp",1,"-21,878554",1E+020,"-21,878554","180,000157",2,-21,VNS,"-0,878554",
"rand-4-100-100-5-1,dssp",1,-3,1E+020,-3,"180,000119",2,-2,VNS,-1,
"rand-4-100-100-5-2,dssp",1,-4,1E+020,-4,"180,000122",2,-3,VNS,-1,
"rand-4-150-150-10-1,dssp",1,-7,1E+020,-7,"180,000102",2,-6,VNS,-1,
"rand-4-150-150-10-2,dssp",1,-8,1E+020,-8,"180,000134",2,-7,VNS,-1,
"rand-4-150-150-15-1,dssp",1,"-11,691933",1E+020,"-11,691933","180,000117",2,-10,VNS,"-1,691933",
"rand-4-150-150-15-2,dssp",1,"-12,851243",1E+020,"-12,851243","180,000115",2,-12,VNS,"-0,851243",
"rand-4-150-150-20-1,dssp",1,"-15,861824",1E+020,"-15,861824","180,000159",2,-14,VNS,"-1,861824",
"rand-4-150-150-20-2,dssp",1,"-17,05876",1E+020,"-17,05876","180,000156",2,-16,VNS,"-1,05876",
"rand-4-150-150-25-1,dssp",1,"-19,801118",1E+020,"-19,801118","180,000157",2,-18,VNS,"-1,801118",
"rand-4-150-150-25-2,dssp",1,-21,1E+020,-21,"180,000171",2,-20,VNS,-1,
"rand-4-150-150-5-1,dssp",1,-3,1E+020,-3,"180,000121",2,-2,VNS,-1,
"rand-4-150-150-5-2,dssp",1,-4,1E+020,-4,"180,000125",2,-3,VNS,-1,
"rand-4-200-200-10-1,dssp",1,-7,1E+020,-7,"180,000113",2,-6,VNS,-1,
"rand-4-200-200-10-2,dssp",1,-8,1E+020,-8,"180,000142",2,-7,VNS,-1,
"rand-4-200-200-15-1,dssp",1,-11,1E+020,-11,"180,000159",2,-10,VNS,-1,
"rand-4-200-200-15-2,dssp",1,"-12,760578",1E+020,"-12,760578","180,000165",2,-11,VNS,"-1,760578",
"rand-4-200-200-20-1,dssp",1,-15,1E+020,-15,"180,00014",2,-14,VNS,-1,
"rand-4-200-200-20-2,dssp",1,"-16,978392",1E+020,"-16,978392","180,000138",2,-16,VNS,"-0,978392",
"rand-4-200-200-25-1,dssp",1,-19,1E+020,-19,"180,000191",2,-17,VNS,-2,
"rand-4-200-200-25-2,dssp",1,-21,1E+020,-21,"180,000192",2,-20,VNS,-1,
"rand-4-200-200-5-1,dssp",1,-3,1E+020,-3,"180,000122",2,-2,VNS,-1,
"rand-4-200-200-5-2,dssp",1,-4,1E+020,-4,"180,000121",2,-3,VNS,-1,
"rand-4-250-250-10-1,dssp",1,-7,1E+020,-7,"180,000152",2,-6,VNS,-1,
"rand-4-250-250-10-2,dssp",1,-8,1E+020,-8,"180,000139",2,-7,VNS,-1,
"rand-4-250-250-15-1,dssp",1,-11,1E+020,-11,"180,000144",2,-10,VNS,-1,
"rand-4-250-250-15-2,dssp",1,"-12,711257",1E+020,"-12,711257","180,000185",2,-11,VNS,"-1,711257",
"rand-4-250-250-20-1,dssp",1,-15,1E+020,-15,"180,000195",2,-13,VNS,-2,
"rand-4-250-250-20-2,dssp",1,"-16,967616",1E+020,"-16,967616","180,000117",2,-15,VNS,"-1,967616",
"rand-4-250-250-25-1,dssp",1,-19,1E+020,-19,"180,000185",2,-17,VNS,-2,
"rand-4-250-250-25-2,dssp",1,-21,1E+020,-21,"180,000226",2,-20,VNS,-1,
"rand-4-250-250-5-1,dssp",1,-3,1E+020,-3,"180,000129",2,-2,VNS,-1,
"rand-4-250-250-5-2,dssp",1,-4,1E+020,-4,"180,000141",2,-3,VNS,-1,
"rand-4-50-50-10-1,dssp",1,-7,1E+020,-7,"180,000113",2,-7,VNS,0,
"rand-4-50-50-10-2,dssp",1,-8,1E+020,-8,"180,000107",2,-7,VNS,-1,
"rand-4-50-50-15-1,dssp",1,-12,1E+020,-12,"180,000103",2,-12,VNS,0,
"rand-4-50-50-15-2,dssp",1,"-13,116286",1E+020,"-13,116286","180,000115",2,-12,VNS,"-1,116286",
"rand-4-50-50-20-1,dssp",1,"-16,259517",1E+020,"-16,259517","180,000116",2,-15,VNS,"-1,259517",
