frac,inteiras,filename,nodes,lb,ub,root,time,status,heuristica,valor
"rand-20-100-100-10-1,dssp",1,-7,-7,-7,"180,000129",10,-7,VNS,0,
"rand-20-100-100-10-2,dssp",1,-7,-7,-7,"180,000139",10,-7,VNS,0,
"rand-20-100-100-15-1,dssp",1,-11,1E+020,-11,"180,000161",2,-10,VNS,-1,
"rand-20-100-100-15-2,dssp",1,-11,-11,-11,"180,000148",10,-11,VNS,0,
"rand-20-100-100-20-1,dssp",1,-15,1E+020,-15,"180,00014",2,-14,VNS,-1,
"rand-20-100-100-20-2,dssp",1,-15,1E+020,-15,"180,00019",2,-14,VNS,-1,
"rand-20-100-100-25-1,dssp",1,-19,1E+020,-19,"180,000309",2,-18,VNS,-1,
"rand-20-100-100-25-2,dssp",1,-19,1E+020,-19,"180,00019",2,-18,VNS,-1,
"rand-20-100-100-5-1,dssp",1,-3,-3,-3,"180,000122",10,-3,VNS,0,
"rand-20-100-100-5-2,dssp",1,-3,-3,-3,"180,000129",10,-3,VNS,0,
"rand-20-150-150-10-1,dssp",1,-7,1E+020,-7,"180,000137",2,-6,VNS,-1,
"rand-20-150-150-10-2,dssp",1,-7,-7,-7,"180,000171",10,-7,VNS,0,
"rand-20-150-150-15-1,dssp",1,-11,1E+020,-11,"180,000228",2,-10,VNS,-1,
"rand-20-150-150-15-2,dssp",1,-11,1E+020,-11,"180,00016",2,-10,VNS,-1,
"rand-20-150-150-20-1,dssp",1,-15,1E+020,-15,"180,000255",2,-14,VNS,-1,
"rand-20-150-150-20-2,dssp",1,-15,1E+020,-15,"180,000167",2,-13,VNS,-2,
"rand-20-150-150-25-1,dssp",1,-19,1E+020,-19,"180,000449",2,-17,VNS,-2,
"rand-20-150-150-25-2,dssp",1,-19,1E+020,-19,"180,000241",2,-18,VNS,-1,
"rand-20-150-150-5-1,dssp",1,-3,-3,-3,"180,000102",10,-3,VNS,0,
"rand-20-150-150-5-2,dssp",1,-3,-3,-3,"180,000124",10,-3,VNS,0,
"rand-20-200-200-10-1,dssp",1,-7,1E+020,-7,"180,00012",2,-6,VNS,-1,
"rand-20-200-200-10-2,dssp",1,-7,-7,-7,"180,000133",10,-7,VNS,0,
"rand-20-200-200-15-1,dssp",1,-11,1E+020,-11,"180,000151",2,-9,VNS,-2,
"rand-20-200-200-15-2,dssp",1,-11,1E+020,-11,"180,000306",2,-10,VNS,-1,
"rand-20-200-200-20-1,dssp",1,-15,1E+020,-15,"180,000402",2,-13,VNS,-2,
"rand-20-200-200-20-2,dssp",1,-15,1E+020,-15,"180,000158",2,-13,VNS,-2,
"rand-20-200-200-25-1,dssp",1,-19,1E+020,-19,"180,000336",2,-17,VNS,-2,
"rand-20-200-200-25-2,dssp",1,-19,1E+020,-19,"180,000507",2,-16,VNS,-3,
"rand-20-200-200-5-1,dssp",1,-3,-3,-3,"180,000135",10,-3,VNS,0,
"rand-20-200-200-5-2,dssp",1,-3,-3,-3,"180,000119",10,-3,VNS,0,
"rand-20-250-250-10-1,dssp",1,-7,1E+020,-7,"180,000159",2,-6,VNS,-1,
"rand-20-250-250-10-2,dssp",1,-7,-7,-7,"180,000202",10,-7,VNS,0,
"rand-20-250-250-15-1,dssp",1,-11,1E+020,-11,"180,000292",2,-9,VNS,-2,
"rand-20-250-250-15-2,dssp",1,-11,1E+020,-11,"180,000251",2,-10,VNS,-1,
"rand-20-250-250-20-1,dssp",1,-15,1E+020,-15,"180,000384",2,-12,VNS,-3,
"rand-20-250-250-20-2,dssp",1,-15,1E+020,-15,"180,000385",2,-12,VNS,-3,
"rand-20-250-250-25-1,dssp",1,-19,1E+020,-19,"180,000393",2,-17,VNS,-2,
"rand-20-250-250-25-2,dssp",1,-19,1E+020,-19,"180,000413",2,-17,VNS,-2,
"rand-20-250-250-5-1,dssp",1,-3,-3,-3,"180,000114",10,-3,VNS,0,
"rand-20-250-250-5-2,dssp",1,-3,-3,-3,"180,000149",10,-3,VNS,0,
"rand-20-50-50-10-1,dssp",1,-7,-7,-7,"180,000117",10,-7,VNS,0,
"rand-20-50-50-10-2,dssp",1,-7,-7,-7,"180,000124",10,-7,VNS,0,
"rand-20-50-50-15-1,dssp",1,-11,-11,-11,"180,000113",10,-11,VNS,0,
"rand-20-50-50-15-2,dssp",1,-11,-11,-11,"180,000153",10,-11,VNS,0,
"rand-20-50-50-20-1,dssp",1,-15,1E+020,-15,"180,000142",2,-14,VNS,-1,
"rand-20-50-50-20-2,dssp",1,-15,-15,-15,"180,000124",10,-15,VNS,0,
"rand-20-50-50-25-1,dssp",1,-19,1E+020,-19,"180,000128",2,-18,VNS,-1,
"rand-20-50-50-25-2,dssp",1,-19,1E+020,-19,"180,000181",2,-18,VNS,-1,
"rand-20-50-50-5-1,dssp",1,-3,-3,-3,"180,000102",10,-3,VNS,0,
"rand-20-50-50-5-2,dssp",1,-4,-4,-4,"180,000104",10,-4,VNS,0,
"rand-4-100-100-10-1,dssp",1,-6,1E+020,-6,"180,000109",2,-4,VNS,-2,
"rand-4-100-100-10-2,dssp",1,"-6,116496",1E+020,"-6,116496","180,000113",2,-5,VNS,"-1,116496",
"rand-4-100-100-15-1,dssp",1,-9,1E+020,-9,"180,000126",2,-6,VNS,-3,
"rand-4-100-100-15-2,dssp",1,-9,1E+020,-9,"180,000175",2,-7,VNS,-2,
"rand-4-100-100-20-1,dssp",1,-12,1E+020,-12,"180,000247",2,-9,VNS,-3,
"rand-4-100-100-20-2,dssp",1,"-12,12488",1E+020,"-12,12488","180,000188",2,-11,VNS,"-1,12488",
"rand-4-100-100-25-1,dssp",1,-15,1E+020,-15,"180,000242",2,-12,VNS,-3,
"rand-4-100-100-25-2,dssp",1,"-15,182287",1E+020,"-15,182287","180,000232",2,-14,VNS,"-1,182287",
"rand-4-100-100-5-1,dssp",1,-3,1E+020,-3,"180,000119",2,-1,VNS,-2,
"rand-4-100-100-5-2,dssp",1,-3,1E+020,-3,"180,000125",2,-2,VNS,-1,
"rand-4-150-150-10-1,dssp",1,-6,1E+020,-6,"180,000182",2,-4,VNS,-2,
"rand-4-150-150-10-2,dssp",1,-6,1E+020,-6,"180,000117",2,-4,VNS,-2,
"rand-4-150-150-15-1,dssp",1,-9,1E+020,-9,"180,000167",2,-6,VNS,-3,
"rand-4-150-150-15-2,dssp",1,-9,1E+020,-9,"180,000173",2,-7,VNS,-2,
"rand-4-150-150-20-1,dssp",1,-12,1E+020,-12,"180,000259",2,-9,VNS,-3,
"rand-4-150-150-20-2,dssp",1,-12,1E+020,-12,"180,00028",2,-10,VNS,-2,
"rand-4-150-150-25-1,dssp",1,-15,1E+020,-15,"180,000373",2,-11,VNS,-4,
"rand-4-150-150-25-2,dssp",1,"-15,004479",1E+020,"-15,004479","180,000209",2,-13,VNS,"-2,004479",
"rand-4-150-150-5-1,dssp",1,-3,1E+020,-3,"180,000142",2,-1,VNS,-2,
"rand-4-150-150-5-2,dssp",1,-3,1E+020,-3,"180,000124",2,-2,VNS,-1,
"rand-4-200-200-10-1,dssp",1,-6,1E+020,-6,"180,000148",2,-4,VNS,-2,
"rand-4-200-200-10-2,dssp",1,-6,1E+020,-6,"180,000162",2,-5,VNS,-1,
"rand-4-200-200-15-1,dssp",1,-9,1E+020,-9,"180,000309",2,-6,VNS,-3,
"rand-4-200-200-15-2,dssp",1,"-9,064611",1E+020,"-9,064611","180,000324",2,-8,VNS,"-1,064611",
"rand-4-200-200-20-1,dssp",1,-12,1E+020,-12,"180,000134",2,-8,VNS,-4,
"rand-4-200-200-20-2,dssp",1,-12,1E+020,-12,"180,000334",2,-9,VNS,-3,
"rand-4-200-200-25-1,dssp",1,-15,1E+020,-15,"180,000408",2,-11,VNS,-4,
"rand-4-200-200-25-2,dssp",1,-15,1E+020,-15,"180,000592",2,-12,VNS,-3,
"rand-4-200-200-5-1,dssp",1,-3,1E+020,-3,"180,000129",2,-1,VNS,-2,
"rand-4-200-200-5-2,dssp",1,-3,1E+020,-3,"180,000108",2,-2,VNS,-1,
"rand-4-250-250-10-1,dssp",1,-6,1E+020,-6,"180,000166",2,-3,VNS,-3,
