file  ,  frac%  ,  root  ,  lb  ,  exact  ,  ra  ,  bcpa  ,  ilpbn-vns  ,  ilpbs-vns
r20-10-250-1 , 0 , -47 , -47 , -47 , -47 , -47 , -47 , -47
r20-10-250-2 , 0.74 , -42 , -42 , -42 , -40 , -41 , -41 , -40
r20-10-500-1 , 0.36 , -97.3 , -97 , -97 , -96 , -97 , -96 , -96
r20-10-500-2 , 0.38 , -82.5 , -82 , -82 , -81 , -82 , -82 , -81
r20-10-750-1 , 0.17 , -143.3 , -143 , -143 , -143 , -143 , -143 , -143
r20-10-750-2 , 0.25 , -120.8 , -120 , -120 , -120 , -120 , -120 , -120
r20-15-250-1 , 1.12 , -37.3 , -37 , -37 , -36 , -36 , -36 , -36
r20-15-250-2 , 1.16 , -34.5 , -34 , -34 , -30 , -34 , -33 , -31
r20-15-500-1 , 0.57 , -76.1 , -76 , -76 , -75 , -75 , -75 , -75
r20-15-500-2 , 0.52 , -67 , -66 , -66 , -65 , -66 , -66 , -65
r20-15-750-1 , 0.38 , -114.4 , -114 , -114 , -113 , -113 , -113 , -113
r20-15-750-2 , 0.37 , -103 , -103 , -103 , -101 , -102 , -102 , -101
r20-20-250-1 , 1.47 , -31 , -30 , -30 , -28 , -30 , -29 , -28
r20-20-250-2 , 1.53 , -29 , -29 , -29 , -25 , -28 , -27 , -25
r20-20-500-1 , 0.76 , -68.1 , -68 , -68 , -65 , -67 , -66 , -65
r20-20-500-2 , 0.75 , -57.9 , -57 , -57 , -56 , -57 , -56 , -56
r20-20-750-1 , 0.49 , -100 , -100 , -100 , -99 , -99 , -99 , -99
r20-20-750-2 , 0.51 , -87.8 , -87 , -87 , -86 , -87 , -86 , -86
r20-25-250-1 , 1.91 , -28.3 , -28 , -28 , -26 , -27 , -26 , -26
r20-25-250-2 , 1.87 , -24.4 , -24 , -24 , -22 , -23 , -23 , -22
r20-25-500-1 , 0.96 , -58.8 , -58 , -58 , -56 , -58 , -56 , -56
r20-25-500-2 , 0.96 , -53.6 , -53 , -53 , -50 , -52 , -51 , -50
r20-25-750-1 , 0.65 , -86.4 , -86 , -86 , -83 , -86 , -84 , -83
r20-25-750-2 , 0.64 , -77.1 , -77 , -77 , -74 , -76 , -74 , -74
r20-5-250-1 , 0.18 , -67.8 , -67 , -67 , -67 , -67 , -67 , -67
r20-5-250-2 , 0.34 , -63.2 , -63 , -63 , -62 , -63 , -62 , -62
r20-5-500-1 , 0.09 , -135.2 , -135 , -135 , -135 , -135 , -135 , -135
r20-5-500-2 , 0.09 , -128.2 , -128 , -128 , -128 , -128 , -128 , -128
r20-5-750-1 , 0 , -204 , -204 , -204 , -204 , -204 , -204 , -204
r20-5-750-2 , 0.07 , -191 , -191 , -191 , -190 , -190 , -190 , -190
r4-10-250-1 , 3.66 , -52.1 , -52 , -52 , -50 , -51 , -51 , -51
r4-10-250-2 , 3.75 , -47.7 , -47 , -47 , -47 , -47 , -47 , -47
r4-10-500-1 , 1.89 , -114.8 , -114 , -114 , -112 , -114 , -113 , -113
r4-10-500-2 , 1.89 , -95.7 , -95 , -95 , -94 , -94 , -94 , -94
r4-10-750-1 , 1.26 , -165.2 , -165 , -165 , -163 , -164 , -164 , -164
r4-10-750-2 , 1.26 , -146 , -146 , -146 , -144 , -145 , -144 , -145
r4-15-250-1 , 5.7 , -42.6 , -42 , -41 , -39 , -41 , -40 , -40
r4-15-250-2 , 5.7 , -39 , -38 , -38 , -35 , -37 , -36 , -36
r4-15-500-1 , 2.88 , -87.7 , -87 , -86 , -85 , -86 , -86 , -86
r4-15-500-2 , 2.88 , -80.5 , -80.4 , -79 , -76 , -79 , -78 , -78
r4-15-750-1 , 1.89 , -137.1 , -137 , -136 , -134 , -136 , -135 , -135
r4-15-750-2 , 1.92 , -120.7 , -120 , -120 , -116 , -119 , -118 , -118
r4-20-250-1 , 7.63 , -37.6 , -37 , -36 , -33 , -36 , -35 , -34
r4-20-250-2 , 7.63 , -33.9 , -33 , -33 , -30 , -32 , -31 , -30
r4-20-500-1 , 3.86 , -76.6 , -76 , -75 , -74 , -75 , -74 , -74
r4-20-500-2 , 3.86 , -65.8 , -65 , -64 , -63 , -64 , -63 , -63
r4-20-750-1 , 2.55 , -119.3 , -119.3 , -117 , -114 , -118 , -115 , -116
r4-20-750-2 , 2.58 , -105.7 , -105.7 , -104 , -101 , -104 , -103 , -102
r4-25-250-1 , 9.44 , -34.4 , -34 , -32 , -29 , -32 , -30 , -30
r4-25-250-2 , 9.25 , -28.7 , -28.2 , -27 , -25 , -27 , -25 , -25
r4-25-500-1 , 4.64 , -69.9 , -69.8 , -68 , -65 , -68 , -66 , -66
r4-25-500-2 , 4.83 , -58.4 , -58.3 , -57 , -54 , -57 , -56 , -54
r4-25-750-1 , 3.2 , -103.3 , -103.2 , -101 , -98 , -101 , -100 , -99
r4-25-750-2 , 3.17 , -90.6 , -90.5 , -88 , -85 , -89 , -87 , -86
r4-5-250-1 , 1.59 , -81.8 , -81 , -81 , -80 , -81 , -81 , -81
r4-5-250-2 , 1.79 , -70.4 , -70 , -70 , -69 , -69 , -69 , -69
r4-5-500-1 , 0.85 , -147.6 , -147 , -147 , -147 , -147 , -147 , -147
r4-5-500-2 , 0.5 , -135.6 , -135 , -135 , -135 , -135 , -135 , -135
r4-5-750-1 , 0.6 , -233.2 , -233 , -233 , -232 , -232 , -232 , -232
r4-5-750-2 , 0.6 , -200.8 , -200 , -200 , -200 , -200 , -200 , -200
