file  ,  frac%  ,  root  ,  lb  ,  exact  ,  ra  ,  bcpa  ,  bcpa+  ,  ilpbn-vns  ,  ilpbs-vns  
r20-10-20-1 , 7.28 , -3.2 , -3 , -3 , -1 , -3 , -3 , -2 , -2
r20-10-20-2 , 7.77 , -2.7 , -2 , -2 , -1 , -2 , -2 , -1 , -1
r20-10-20-3 , 6.55 , -2.8 , -2 , -2 , -2 , -2 , -2 , -2 , -2
r20-10-20-4 , 0 , -2 , -2 , -2 , -2 , -2 , -2 , -2 , -2
r20-10-20-5 , 6.31 , -1.9 , -1 , -1 , -1 , -1 , -1 , -1 , -1
r20-15-30-1 , 7.94 , -4.4 , -4 , -4 , -3 , -3 , -3 , -3 , -3
r20-15-30-2 , 6.81 , -3.8 , -3 , -3 , -2 , -3 , -3 , -3 , -3
r20-15-30-3 , 7.78 , -2.9 , -2 , -2 , -1 , -2 , -2 , -2 , -1
r20-15-30-4 , 6.97 , -2.4 , -2 , -2 , -1 , -1 , -1 , -1 , -1
r20-15-30-5 , 7.29 , -2.3 , -2 , -2 , -1 , -1 , -1 , -1 , -1
r20-20-40-1 , 7.18 , -4.4 , -4 , -4 , -2 , -4 , -4 , -3 , -3
r20-20-40-2 , 7.06 , -3.7 , -3 , -3 , -1 , -3 , -3 , -2 , -1
r20-20-40-3 , 6.93 , -2.6 , -2 , -2 , -1 , -2 , -2 , -1 , -1
r20-20-40-4 , 7.18 , -2.9 , -2 , -2 , -2 , -2 , -2 , -2 , -2
r20-20-40-5 , 6.57 , -2.6 , -2 , -2 , -1 , -2 , -2 , -1 , -1
r20-25-50-1 , 7.79 , -4.4 , -4 , -4 , -2 , -4 , -4 , -3 , -3
r20-25-50-2 , 7.21 , -4.4 , -4 , -4 , -1 , -3 , -3 , -2 , -1
r20-25-50-3 , 7.11 , -3.6 , -3 , -3 , 0 , -3 , -3 , -2 , -1
r20-25-50-4 , 7.89 , -3 , -2 , -2 , 0 , -2 , -2 , -1 , -1
