file  ,  frac%  ,  root  ,  lb  ,  exact  ,  ra  ,  bcpa  ,  ilpbn-vns  ,  ilpbs-vns  
r20-100-10-1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1
r20-100-10-2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
r20-100-15-1 , 33.58 , -0.2 , 1 , 1 , 2 , 1 , 1 , 1
r20-100-15-2 , 36.57 , -0.1 , 1 , 1 , 2 , 1 , 1 , 1
r20-100-20-1 , 32.07 , -0.4 , 1 , 1 , 2 , 1 , 2 , 1
r20-100-20-2 , 32.87 , -0.3 , 1 , 1 , 1 , 1 , 1 , 1
r20-100-25-1 , 29.73 , -0.5 , 1 , 1 , 1 , 1 , 1 , 1
r20-100-25-2 , 29.24 , -0.4 , 1 , 1 , 1 , 1 , 1 , 1
r20-100-5-1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1
r20-100-5-2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
r20-150-10-1 , 35.51 , 0.2 , 1 , 1 , 4 , 1 , 1 , 1
r20-150-10-2 , 36.65 , 0.2 , 1 , 1 , 2 , 1 , 1 , 1
r20-150-15-1 , 39.6 , 0 , 1 , 1 , 2 , 1 , 2 , 1
r20-150-15-2 , 44.69 , 0 , 1 , 1 , 2 , 1 , 1 , 1
r20-150-20-1 , 40.94 , -0.2 , 1 , 1 , 2 , 1 , 2 , 1
r20-150-20-2 , 41.12 , -0.1 , 1 , 1 , 2 , 1 , 1 , 1
r20-150-25-1 , 34.82 , -0.3 , 1 , 1 , 2 , 1 , 2 , 1
r20-150-25-2 , 36.96 , -0.2 , 1 , 1 , 1 , 1 , 1 , 1
r20-150-5-1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1
r20-150-5-2 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1
r20-200-10-1 , 32.84 , 0.3 , 1 , 1 , 4 , 1 , 1 , 1
r20-200-10-2 , 38.81 , 0.2 , 1 , 1 , 3 , 1 , 1 , 1
r20-200-15-1 , 43.03 , 0 , 1 , 1 , 3 , 1 , 2 , 1
r20-200-15-2 , 46.22 , 0 , 1 , 1 , 2 , 1 , 1 , 1
r20-200-20-1 , 44.35 , -0.1 , 1 , 1 , 3 , 1 , 2 , 1
r20-200-20-2 , 43.19 , -0.1 , 1 , 1 , 1 , 1 , 1 , 1
r20-200-25-1 , 41.45 , -0.2 , 1 , 1 , 2 , 1 , 2 , 1
r20-200-25-2 , 40.03 , -0.2 , 1 , 1 , 2 , 1 , 2 , 1
r20-200-5-1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1
r20-200-5-2 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1
r20-250-10-1 , 31.42 , 0.3 , 1 , 1 , 5 , 1 , 1 , 1
r20-250-10-2 , 38.5 , 0.2 , 1 , 1 , 5 , 1 , 1 , 1
r20-250-15-1 , 45.11 , 0.1 , 1 , 1 , 3 , 1 , 2 , 1
r20-250-15-2 , 48.73 , 0 , 1 , 1 , 1 , 1 , 1 , 1
r20-250-20-1 , 44.79 , -0.1 , 1 , 1 , 2 , 1 , 2 , 2
r20-250-20-2 , 47.39 , 0 , 1 , 1 , 2 , 1 , 1 , 1
r20-250-25-1 , 43.88 , -0.1 , 1 , 1 , 2 , 2 , 2 , 2
r20-250-25-2 , 44.02 , -0.1 , 1 , 1 , 2 , 1 , 2 , 1
r20-250-5-1 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1
r20-250-5-2 , 0 , 1 , 1 , 1 , 1 , 1 , 1 , 1
r20-50-10-1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
r20-50-10-2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
r20-50-15-1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
r20-50-15-2 , 23.3 , -0.4 , 0 , 0 , 0 , 0 , 0 , 0
r20-50-20-1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
r20-50-20-2 , 21.68 , -0.7 , 0 , 0 , 1 , 0 , 1 , 0
r20-50-25-1 , 20.11 , -1.1 , 0 , 0 , 1 , 0 , 1 , 0
r20-50-25-2 , 18.66 , -1 , 0 , 0 , 1 , 0 , 1 , 0
r20-50-5-1 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
r20-50-5-2 , 0 , 0 , 0 , 0 , 0 , 0 , 0 , 0
r4-100-10-1 , 26.76 , 1 , 3 , 3 , 5 , 4 , 3 , 3
