file  ,  frac%  ,  root  ,  lb  ,  exact  ,  ra  ,  bcpa  ,  bcpa+  ,  ilpbn-vns  ,  ilpbs-vns 
r20-10-250-1 , 20.56 , -180.6 , -180 , -11 , -1 , - , -1 , -2 , -3
r20-10-250-2 , 20.33 , -181.6 , -181 , -11 , -1 , - , -4 , -2 , -2
r20-10-500-1 , 18.2 , -360.6 , -360.6 , 15 , 0 , - , -10 , -3 , -1
r20-10-500-2 , 15.54 , -361.8 , -361.8 , 3 , -1 , - , -6 , -2 , -3
r20-10-750-1 , 16.59 , -539.9 , -539.9 , 12 , -1 , - , 12 , -3 , -1
r20-10-750-2 , 13.67 , -542.1 , -542.1 , 10 , 3 , - , 10 , 0 , 3
r20-15-250-1 , 25.99 , -180.3 , -180.3 , -1 , 2 , - , -4 , 0 , -1
r20-15-250-2 , 26.16 , -182.1 , -182.1 , -1 , 2 , - , 1 , 1 , 0
r20-15-500-1 , 22.03 , -359.7 , -359.7 , 11 , 2 , - , 9 , 0 , 2
r20-15-500-2 , 18.97 , -361.8 , -361.8 , 13 , 4 , - , -2 , 2 , -1
r20-15-750-1 , * , * , * , 17 , 19 , - , - , 12 , 13
r20-15-750-2 , * , * , -541.5 , 16 , 13 , - , - , 8 , 10
r20-20-250-1 , 28.91 , -179.8 , -179.8 , 10 , 4 , - , -1 , 1 , 1
r20-20-250-2 , 29.19 , -180.9 , -180.8 , 1 , 2 , - , 0 , 1 , 0
r20-20-500-1 , * , * , -358.8 , 18 , 17 , - , - , 12 , 8
r20-20-500-2 , 19.12 , -361.9 , -361.9 , 4 , 2 , - , 1 , 2 , 1
r20-20-750-1 , * , * , * , 19 , 15 , - , - , 11 , 12
r20-20-750-2 , * , * , * , 22 , 17 , - , - , 14 , 6
r20-25-250-1 , * , * , -179 , 11 , 13 , - , - , 10 , 9
r20-25-250-2 , 29.63 , -180.5 , -180 , 11 , 3 , - , 0 , 0 , 1
r20-25-500-1 , * , * , -358.9 , 11 , 17 , - , - , 10 , 9
r20-25-500-2 , 19.53 , -361.7 , -361.7 , 8 , 4 , - , 15 , 2 , 4
r20-25-750-1 , * , * , * , 20 , 24 , - , - , 14 , 19
r20-25-750-2 , * , * , * , 21 , 16 , - , - , 14 , 7
r20-5-250-1 , 14.16 , -181.8 , -181.7 , -32 , -2 , - , -13 , -5 , -5
r20-5-250-2 , 14.33 , -183.3 , -183.3 , -27 , -1 , 3 , -11 , -3 , -4
r20-5-500-1 , 11.73 , -362.6 , -362 , -6 , -6 , - , -15 , -6 , -7
r20-5-500-2 , 11.76 , -363.2 , -363 , -41 , -5 , - , -6 , -7 , -7
r20-5-750-1 , 10.77 , -542.9 , -542.9 , -12 , -6 , - , -24 , -10 , -7
r20-5-750-2 , 11.68 , -543.4 , -543.4 , 9 , -2 , - , -21 , -5 , -2
r4-10-250-1 , 38.42 , -143 , -142.9 , -3 , 0 , - , 1 , -4 , -5
r4-10-250-2 , 34.03 , -143.2 , -143.1 , 5 , 5 , - , 4 , -1 , 0
r4-10-500-1 , 39.86 , -283.4 , -283.4 , 2 , 8 , - , 14 , -6 , -3
r4-10-500-2 , 33.13 , -286.6 , -286.6 , 18 , 1 , - , 26 , -4 , -4
r4-10-750-1 , 40.12 , -424.1 , -424.1 , 37 , 3 , - , 43 , -2 , -7
r4-10-750-2 , 31.43 , -425.7 , -425.7 , 30 , 5 , - , 41 , -2 , -1
r4-15-250-1 , 44.04 , -140.5 , -140 , 4 , 2 , - , 9 , -1 , -1
r4-15-250-2 , 36.37 , -141.4 , -141.3 , -7 , 5 , - , 6 , 0 , 0
r4-15-500-1 , 41.77 , -281.5 , -281.5 , 38 , 12 , - , 30 , 2 , 0
r4-15-500-2 , 35.91 , -282.9 , -282.9 , 25 , 10 , - , 37 , 3 , 4
r4-15-750-1 , * , * , -422.6 , 39 , 31 , - , - , 12 , 10
r4-15-750-2 , 26.08 , -428.1 , -428.1 , 24 , 18 , - , 24 , 5 , 0
r4-20-250-1 , 38.67 , -140.6 , -140.6 , -2 , 5 , - , 12 , 0 , 0
r4-20-250-2 , 25.57 , -142 , -142 , 3 , 6 , - , 10 , 2 , 2
r4-20-500-1 , 32.42 , -283 , -283 , 19 , 10 , - , 38 , 3 , 1
r4-20-500-2 , 31.08 , -283.1 , -283.1 , 23 , 9 , - , 34 , 1 , 1
r4-20-750-1 , * , * , -422.3 , 37 , 44 , - , - , 24 , 32
r4-20-750-2 , * , * , -422 , 39 , 21 , - , - , 10 , 18
r4-25-250-1 , 36.13 , -140.2 , -139.9 , 8 , 11 , 22 , 23 , 2 , 3
r4-25-250-2 , 30 , -141 , -141 , 4 , 8 , - , 14 , 1 , 2
r4-25-500-1 , 31.88 , -281.6 , -281.6 , 27 , 17 , - , 25 , 7 , 8
r4-25-500-2 , 25.71 , -283.4 , -283.4 , 39 , 11 , - , 46 , 5 , 3
r4-25-750-1 , * , * , * , 42 , 31 , - , - , 21 , 14
r4-25-750-2 , * , * , -424.7 , 27 , 37 , - , - , 17 , 26
r4-5-250-1 , 36.17 , -143.1 , -143 , -31 , -3 , - , -12 , -11 , -10
r4-5-250-2 , 30 , -146.3 , -146 , -20 , 0 , - , -9 , -7 , -8
r4-5-500-1 , 36.96 , -285.8 , -285.8 , -62 , -4 , - , -21 , -12 , -10
r4-5-500-2 , 29.22 , -288.8 , -288.8 , -33 , 5 , - , 3 , -8 , -4
r4-5-750-1 , 36.71 , -429.3 , -429.3 , -36 , -7 , - , 27 , -18 , -12
r4-5-750-2 , 37.5 , -427 , -427 , 12 , -7 , - , -17 , -15 , -12
