file  ,  frac%  ,  root  ,  lb  ,  exact  ,  ra  ,  bcpa  ,  bcpa+  ,  ilpbn-vns  ,  ilpbs-vns
r20-10-20-1 , 34.81 , -13.1 , -2 , -2 , -1 , -2 , -2 , -1 , -1
r20-10-20-2 , 34.81 , -12.9 , -2 , -2 , 0 , -1 , -1 , 0 , -1
r20-10-20-3 , 30.94 , -12.9 , -2 , -2 , 0 , -1 , -1 , -1 , -1
r20-10-20-4 , 30.94 , -12.7 , -1 , -1 , -1 , -1 , -1 , -1 , -1
r20-10-20-5 , 25.14 , -12.8 , -1 , -1 , 0 , -1 , -1 , -1 , -1
r20-15-30-1 , 45.23 , -20.1 , -7.4 , -1 , 1 , -1 , -2 , -1 , -1
r20-15-30-2 , 45.75 , -19.9 , -5.3 , -1 , 0 , -2 , -2 , 0 , 0
r20-15-30-3 , 45.58 , -19.9 , -4.5 , -1 , 1 , 0 , -1 , 0 , 0
r20-15-30-4 , 46.79 , -19.8 , -3.8 , -1 , 0 , -1 , -1 , 0 , -1
r20-15-30-5 , 42.11 , -19.8 , -3.2 , -1 , 0 , -1 , -1 , 0 , -1
r20-20-40-1 , 53.04 , -27.6 , -14 , -1 , 1 , 1 , -1 , 0 , 0
r20-20-40-2 , 50.73 , -27.7 , -25.7 , -1 , 1 , 0 , -1 , 0 , -1
r20-20-40-3 , 52.8 , -27.5 , -7.1 , -1 , 1 , 0 , -1 , 0 , 0
r20-20-40-4 , 51.34 , -27.6 , -7 , -1 , 1 , 0 , -1 , 0 , 0
r20-20-40-5 , 51.46 , -27.5 , -5.2 , -1 , 1 , 0 , -1 , 0 , 0
r20-25-50-1 , 57.6 , -34.6 , -34.3 , 0 , 0 , - , 0 , 0 , -1
r20-25-50-2 , 57.97 , -34.7 , -34.4 , 0 , 1 , - , -1 , 0 , 0
r20-25-50-3 , 58.52 , -34.6 , -34.4 , 0 , 1 , 1 , 0 , 1 , 0
r20-25-50-4 , 60.53 , -34.6 , -34.3 , 0 , 1 , 1 , 0 , 1 , 0
r20-25-50-5 , 57.14 , -34.6 , -34.4 , -1 , 1 , 2 , -1 , 1 , 0
r20-5-10-1 , 27.16 , -5.5 , -1 , -1 , -1 , -1 , -1 , -1 , -1
