file  ,  frac%  ,  root  ,  lb  ,  exact  ,  ra  ,  bcpa  ,  ilpbn-vns  ,  ilpbs-vns 
r20-100-10-1 , 71.96 , -4 , 1 , 1 , 3 , 2 , 1 , 1
r20-100-10-2 , 85.42 , -4.8 , 1 , 1 , 2 , 1 , 1 , 1
r20-100-15-1 , 86.84 , -8.5 , -1.7 , 1 , 4 , 1 , 1 , 1
r20-100-15-2 , 100 , -8.6 , -1.2 , 1 , 3 , 1 , 3 , 1
r20-100-20-1 , 100 , -12.4 , -3.4 , 1 , 3 , - , 3 , 1
r20-100-20-2 , 100 , -12.4 , -3 , 1 , 3 , 1 , 3 , 1
r20-100-24-1 , 100 , -15.5 , -6.5 , 1 , 3 , - , 3 , 3
r20-100-24-2 , 100 , -15.7 , -6 , 1 , 4 , 2 , 3 , 1
r20-100-4-1 , 100 , -1.5 , 1 , 1 , 1 , 1 , 1 , 1
r20-100-4-2 , 100 , -1.5 , 1 , 1 , 1 , 1 , 1 , 1
r20-150-10-1 , 89.22 , -4.7 , 1 , 1 , 2 , 2 , 2 , 2
r20-150-10-2 , 90.43 , -4.8 , 1 , 1 , 3 , 1 , 1 , 1
r20-150-15-1 , 91.26 , -8.5 , -2 , 1 , 3 , 2 , 2 , 3
r20-150-15-2 , 93.31 , -8.6 , -1.3 , 1 , 2 , 1 , 1 , 1
r20-150-20-1 , 100 , -12.4 , -3.9 , 1 , 4 , - , 4 , 2
r20-150-20-2 , 100 , -12.4 , -3 , 1 , 3 , - , 2 , 3
r20-150-24-1 , 100 , -15.5 , -7.5 , 2 , 4 , - , 4 , 2
r20-150-24-2 , 100 , -15.6 , -5.7 , 1 , 3 , 2 , 3 , 2
r20-150-4-1 , 100 , -1.5 , 1 , 1 , 2 , 1 , 1 , 1
r20-150-4-2 , 100 , -1.5 , 1 , 1 , 1 , 1 , 1 , 1
r20-200-10-1 , 91.83 , -4.7 , 1 , 1 , 3 , 2 , 2 , 1
r20-200-10-2 , 93.52 , -4.8 , 1 , 1 , 3 , 1 , 1 , 1
r20-200-15-1 , 93.62 , -8.4 , -2.4 , 1 , 4 , 2 , 2 , 2
r20-200-15-2 , 100 , -8.6 , -1.2 , 1 , 3 , 1 , 3 , 1
r20-200-20-1 , 100 , -12.4 , -5.6 , 1 , 4 , - , 3 , 2
r20-200-20-2 , 100 , -12.4 , -3.5 , 1 , 2 , 2 , 2 , 2
r20-200-24-1 , 100 , -15.7 , -9 , 2 , 4 , - , 4 , 2
r20-200-24-2 , 100 , -15.7 , -5.6 , 1 , 3 , 2 , 3 , 3
r20-200-4-1 , 100 , -1.6 , 1 , 1 , 2 , 1 , 2 , 1
r20-200-4-2 , 100 , -1.5 , 1 , 1 , 2 , 1 , 1 , 1
r20-250-10-1 , 93.78 , -4.7 , 0 , 2 , 3 , 2 , 2 , 2
r20-250-10-2 , 94.4 , -4.7 , 1 , 1 , 3 , 1 , 1 , 1
r20-250-15-1 , 100 , -8.5 , -2 , 1 , 4 , 2 , 3 , 2
r20-250-15-2 , 100 , -8.6 , -1.3 , 1 , 3 , 2 , 3 , 3
r20-250-20-1 , 100 , -12.4 , -4.7 , 2 , 4 , 3 , 3 , 4
r20-250-20-2 , 100 , -12.4 , -3.3 , 1 , 3 , 2 , 3 , 3
r20-250-24-1 , 100 , -15.5 , -10.6 , 2 , 5 , - , 5 , 5
r20-250-24-2 , 100 , -15.6 , -8 , 1 , 3 , 3 , 3 , 3
r20-250-4-1 , 100 , -1.5 , 1 , 1 , 2 , 1 , 2 , 1
r20-250-4-2 , 100 , -1.5 , 1 , 1 , 1 , 1 , 1 , 1
r20-50-10-1 , 65.79 , -4 , 1 , 1 , 2 , 1 , 1 , 1
r20-50-10-2 , 76.61 , -4.9 , 0 , 0 , 2 , 1 , 0 , 0
r20-50-15-1 , 75.21 , -8.6 , -1.4 , 0 , 3 , 1 , 1 , 1
r20-50-15-2 , 78.81 , -8.5 , -1 , 0 , 3 , 0 , 1 , 0
